Portco,PE Firm,Website,HQ Location,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
4human,Accel-KKR,https://4human.no/,"Tønsberg, Norway",Unknown,Unknown,Unknown,Unknown
Abila,Accel-KKR,https://www.abila.com/,"Austin, Texas, US",10600000,Unknown,Unknown,Unknown
Abrigo,Accel-KKR,https://www.abrigo.com/,"Austin, Texas, US",Unknown,AWS,Unknown,Unknown
Accertify,Accel-KKR,https://www.accertify.com/,"Itasca, Illinois, US",830000000,Unknown,Unknown,Unknown
Acumatica,Accel-KKR,https://www.acumatica.com/,"Bellevue, Washington, US",92600000,AWS,Unknown,Unknown
Agilence,Accel-KKR,Unknown,"Philadelphia, Pennsylvania, US",Unknown,Unknown,Unknown,Unknown
Airship,Accel-KKR,https://www.airship.com/,"Portland, Oregon, US",Unknown,Unknown,Unknown,Unknown
Alias,Accel-KKR,Unknown,"Oxford, UK",Unknown,Unknown,Unknown,Unknown
Appspace,Accel-KKR,https://www.appspace.com/,"Dallas, Texas, US",Unknown,Unknown,Unknown,Unknown
APT,Accel-KKR,https://www.predictivetechnologies.com/en,"London, UK",Unknown,Unknown,Unknown,Unknown
Arbiter,Accel-KKR,https://www.arbitersports.com/,"Sandy, Utah, US",Unknown,AWS,Unknown,Unknown
Basware,Accel-KKR,https://www.basware.com/,"Espoo, Finland",172000000,Azure,AWS,Unknown
Birdeye,Accel-KKR,https://birdeye.com/,"Palo Alto, California, US",100000000,AWS,Unknown,Unknown
Blue Mountain,Accel-KKR,https://www.bluemountainqm.com/,"State College, Pennsylvania, US",Unknown,AWS,Unknown,Unknown
Captify,Accel-KKR,https://www.captifytechnologies.com/,"London, UK",80000000,AWS,GCP,Unknown
CareLineLive,Accel-KKR,https://www.carelinelive.com/,"Horsham, UK",Unknown,AWS,Unknown,Unknown
Cendyn,Accel-KKR,https://www.cendyn.com/,"Boca Raton, Florida, US",100000000,AWS,Azure,Unknown
Cielo,Accel-KKR,https://www.cielotalent.com/,"Brookfield, Wisconsin, US",500000000,Unknown,Unknown,Unknown
Clavis Insight,Accel-KKR,Unknown,"Boston, Massachusetts, US",Unknown,Unknown,Unknown,Unknown
Clevest,Accel-KKR,https://www.clevest.com/,"Richmond, British Columbia, Canada",Unknown,Azure,Unknown,Unknown
ClickDimensions,Accel-KKR,https://www.clickdimensions.com/,"Atlanta, Georgia, US",Unknown,Azure,Unknown,Unknown
Cloud 9 Software,Accel-KKR,https://cloud9.software/,"Roswell, Georgia, US",3200000,AWS,Unknown,Unknown
Continuity,Accel-KKR,https://www.continuity.net/,"New Haven, Connecticut, US",Unknown,Azure,Unknown,Unknown
CRS Retail Systems,Accel-KKR,https://www.crsretail.com/,"Newburgh, New York, US",Unknown,Unknown,Unknown,Unknown
CXT Software,Accel-KKR,https://www.cxtsoftware.com/,"Phoenix, Arizona, US",Unknown,AWS,Unknown,Unknown
Dalet,Accel-KKR,https://www.dalet.com/,"Levallois-Perret, France",Unknown,AWS,Unknown,Unknown
Datapipe,Accel-KKR,https://www.rackspace.com/,"Jersey City, New Jersey, US",Unknown,AWS,Azure,GCP
Delta Data,Accel-KKR,https://www.deltadatasoft.com/,"Columbus, Georgia, US",Unknown,AWS,Unknown,Unknown
Drips,Accel-KKR,https://www.drips.com/,"Akron, Ohio, US",175000000,AWS,Unknown,Unknown
Duett,Accel-KKR,https://duett.no/,"Tynset, Norway",Unknown,Azure,Unknown,Unknown
Efreightsolutions,Accel-KKR,https://www.efreightsolutions.com/,"Atlanta, Georgia, US",Unknown,AWS,Unknown,Unknown
Ektron,Accel-KKR,https://www.ektron.com/,"Nashua, New Hampshire, US",Unknown,AWS,Unknown,Unknown
Eletive,Accel-KKR,https://www.eletive.com/,"Stockholm, Sweden",Unknown,AWS,Azure,Unknown
Endalia,Accel-KKR,https://www.endalia.com/,"Barcelona, Spain",Unknown,Azure,Unknown,Unknown
Endurance Intl. Group,Accel-KKR,https://www.endurance.com/,"Burlington, Massachusetts, US",Unknown,AWS,Azure,GCP
Engageware,Accel-KKR,https://www.engageware.com/,"Tewksbury, Massachusetts, US",Unknown,AWS,Unknown,Unknown
Enmark,Accel-KKR,https://www.enmark.com/,"Ann Arbor, Michigan, US",Unknown,Unknown,Unknown,Unknown
Entersekt,Accel-KKR,https://www.entersekt.com/,"Stellenbosch, South Africa",Unknown,AWS,Unknown,Unknown
Enverus,Accel-KKR,https://www.enverus.com/,"Austin, Texas, US",500000000,AWS,Azure,Unknown
Envizi,Accel-KKR,https://www.envizi.com/,"Sydney, Australia",Unknown,Azure,Unknown,Unknown
Episerver,Accel-KKR,https://www.optimizely.com/,"San Francisco, California, US",315100000,Unknown,Unknown,Unknown
ESG,Accel-KKR,https://esgglobal.com/,"Chorley, UK",Unknown,Unknown,Unknown,Unknown
ESO,Accel-KKR,https://www.eso.com/,"Austin, Texas, US",248500000,Unknown,Unknown,Unknown
ESTELA,Accel-KKR,https://www.estela.com/,"Ciudad de México, Mexico",5800000,Azure,Unknown,Unknown
Exxat,Accel-KKR,https://exxat.com/,"Warren, New Jersey, US",95200000,Unknown,Unknown,Unknown
FastSpring,Accel-KKR,https://fastspring.com/,"Santa Barbara, California, US",28400000,Unknown,Unknown,Unknown
FM:Systems,Accel-KKR,https://fmsystems.com/,"Raleigh, North Carolina, US",Unknown,Unknown,Unknown,Unknown
Forcura,Accel-KKR,https://www.mosai.com/,"Jacksonville, Florida, US",Unknown,AWS,Unknown,Unknown
FRISS,Accel-KKR,https://www.friss.com/,"Utrecht, Netherlands",36800000,Azure,Unknown,Unknown
GPS Insight,Accel-KKR,https://www.gpsinsight.com/,"Scottsdale, Arizona, US",37600000,Unknown,Unknown,Unknown
Green Mountain Technology,Accel-KKR,https://www.greenmt.com/,"Memphis, Tennessee, US",25500000,Unknown,Unknown,Unknown
Greenshades,Accel-KKR,https://www.greenshades.com/,"Jacksonville, Florida, US",24200000,Unknown,Unknown,Unknown
Health Metrics,Accel-KKR,Unknown,"Cheltenham, Victoria, AU",Unknown,Unknown,Unknown,Unknown
HighJump,Accel-KKR,https://www.koerber-supplychain.com/,"Minneapolis, Minnesota, US",Unknown,Azure,Unknown,Unknown
HighWire,Accel-KKR,https://www.highwirepress.com/,"Los Gatos, California, US",Unknown,Unknown,Unknown,Unknown
Humanforce,Accel-KKR,https://humanforce.com/,"North Sydney, New South Wales, AU",16700000,Unknown,Unknown,Unknown
imed,Accel-KKR,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
InfoMC,Accel-KKR,https://infomc.com/,"Conshohocken, Pennsylvania, US",Unknown,Unknown,Unknown,Unknown
IntegriChain,Accel-KKR,https://www.integrichain.com/,"Philadelphia, Pennsylvania, US",62400000,AWS,Azure,Unknown
IntelePeer,Accel-KKR,https://intelepeer.ai/,"Dania Beach, Florida, US",136600000,Unknown,Unknown,Unknown
IntrinsiQ,Accel-KKR,https://www.intrinsiq.com/,"Waltham, Massachusetts, US",Unknown,AWS,Unknown,Unknown
isolved HCM,Accel-KKR,https://www.isolvedhcm.com/,"Charlotte, North Carolina, US",300000000,AWS,Azure,Unknown
ITC,Accel-KKR,https://www.itcllc.com/,"Hudsonville, Michigan, US",Unknown,AWS,Unknown,Unknown
iTradeNetwork,Accel-KKR,https://www.itradenetwork.com/,"Dublin, California, US",Unknown,AWS,Unknown,Unknown
Jaggaer,Accel-KKR,https://www.jaggaer.com/,"Morrisville, North Carolina, US",150000000,AWS,Azure,Unknown
Kaleris,Accel-KKR,https://www.kaleris.com/,"Alpharetta, Georgia, US",Unknown,AWS,Unknown,Unknown
KANA,Accel-KKR,https://www.kana.com/,"Sunnyvale, California, US",Unknown,AWS,Azure,GCP
Kantata,Accel-KKR,https://www.kantata.com/,"Irvine, California, US",Unknown,AWS,Unknown,Unknown
KCS,Accel-KKR,https://www.kcs.com/,"Dordrecht, Netherlands",Unknown,Azure,Unknown,Unknown
Layered Technologies,Accel-KKR,Unknown,"Plano, Texas, US",Unknown,Unknown,Unknown,Unknown
LeagueApps,Accel-KKR,https://leagueapps.com/,"New York, NY, US",20000000,Unknown,Unknown,Unknown
LeanDNA,Accel-KKR,https://www.leandna.com/,"Austin, Texas, US",21000000,AWS,Unknown,Unknown
Lemontech,Accel-KKR,https://www.lemontech.com/,"Ciudad de México, Mexico",Unknown,Unknown,Unknown,Unknown
Loftware,Accel-KKR,https://www.loftware.com/,"Portsmouth, NH, US",100000000,Unknown,Unknown,Unknown
MarketFactory,Accel-KKR,https://www.marketfactory.com/,Unknown,Unknown,Unknown,Unknown,
Masabi,Accel-KKR,https://www.masabi.com/,"London, UK",Unknown,Unknown,Unknown,Unknown
Mcmtech,Accel-KKR,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ministry Brands,Accel-KKR,https://www.ministrybrands.com/,"Knoxville, TN, US",147000000,Unknown,Unknown,Unknown
Mobile Health,Accel-KKR,https://www.mobilehealth.com/,"Long Island City, NY, US",Unknown,Unknown,Unknown,Unknown
Model N,Accel-KKR,https://www.modeln.com/,"San Mateo, CA, US",249000000,Unknown,Unknown,Unknown
MyComplianceOffice,Accel-KKR,https://www.mycomplianceoffice.com/,"Chicago, Illinois, US",Unknown,AWS,Unknown,Unknown
N-able Technologies,Accel-KKR,https://www.n-able.com/,"Tampa, Florida, US",328000000,AWS,Azure,Unknown
NAVTOR,Accel-KKR,https://www.navtor.com/,"Egersund, Norway",Unknown,AWS,Unknown,Unknown
North Plains,Accel-KKR,https://www.northplains.com/,"Toronto, Ontario, Canada",Unknown,AWS,Unknown,Unknown
NovoPath,Accel-KKR,https://www.novopath.com/,"Princeton, New Jersey, US",Unknown,Azure,Unknown,Unknown
Ntracts,Accel-KKR,https://www.ntracts.com/,"Chicago, Illinois, US",Unknown,AWS,Unknown,Unknown
Nutrislice,Accel-KKR,https://www.nutrislice.com/,"Boulder, Colorado, US",Unknown,AWS,Unknown,Unknown
Ocuco,Accel-KKR,https://www.ocuco.com/,"Dublin, Ireland",Unknown,AWS,Unknown,Unknown
Office Timeline,Accel-KKR,https://www.officetimeline.com/,"Bellevue, Washington, US",Unknown,Unknown,Unknown,Unknown
Oildex,Accel-KKR,https://www.oildex.com/,"Denver, Colorado, US",Unknown,AWS,Unknown,Unknown
On Center Software,Accel-KKR,https://www.oncenter.com/,"The Woodlands, Texas, US",Unknown,Unknown,Unknown,Unknown
