Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Actabl,Alpine Investors,https://actabl.com,"$1,000,000 - $5,000,000",Unknown,,
AirDNA,Alpine Investors,https://www.airdna.co,"$35,000,000 - $44,500,000",AWS,,
AlpineX,Alpine Investors,Ambiguous,Unknown,Unknown,,
Alta Planning + Design,Alpine Investors,https://altago.com,"$182,500,000",Unknown,,
Antelope,Alpine Investors,https://antelopepets.com,Unknown,Unknown,,
Apex Service Partners,Alpine Investors,https://apexservicepartners.com,"$160,600,000 - $200,000,000",Oracle Cloud,,
Aplos,Alpine Investors,https://www.aplos.com,"$15,500,000",AWS,,
Ascend,Alpine Investors,Unknown,Unknown,Unknown,,
ASG,Alpine Investors,https://www.alpinesg.com,Unknown,AWS,Azure,GCP
Aspen Standard Wealth,Alpine Investors,https://aspenstandardwealth.com,Unknown,Unknown,,
Aspira,Alpine Investors,https://aspiraconnect.com,"$9,000,000",Azure,,
Astra Service Partners,Alpine Investors,https://astraservicepartners.com,Unknown,Unknown,,
Automatic Entrances of Wisconsin,Alpine Investors,https://aewinc.net,"$18,000,000",Unknown,,
Axcel,Alpine Investors,https://axcel.com,Unknown,Unknown,,
Axia Water,Alpine Investors,https://www.axiuswater.com,"$19,400,000",Unknown,,
Best Home Services,Alpine Investors,https://getbest.com,"$32,500,000",Unknown,,
Bitfocus,Alpine Investors,https://bitfocus.io,"$13,600,000",Unknown,,
Canopy Service Partners,Alpine Investors,https://www.canopysps.com/about,"$26,200,000",Unknown,,
CarHop,Alpine Investors,Unknown,Unknown,Unknown,,
Cedar Services Group,Alpine Investors,Unknown,Unknown,Unknown,,
Cirrus Asset Management,Alpine Investors,https://cirrusrep.com/,"$40,300,000",Unknown,,
CME Associates,Alpine Investors,Unknown,Unknown,Unknown,,
Cobalt Service Partners,Alpine Investors,Unknown,Unknown,Unknown,,
CPH,Alpine Investors,Unknown,Unknown,Unknown,,
DRMP,Alpine Investors,Unknown,Unknown,Unknown,,
Dry Kings,Alpine Investors,Unknown,Unknown,Unknown,,
DryLux Restoration,Alpine Investors,Unknown,Unknown,Unknown,,
e-Courier Software,Alpine Investors,Unknown,Unknown,Unknown,,
Ethisphere,Alpine Investors,Unknown,Unknown,Unknown,,
Fehr Graham,Alpine Investors,https://www.fehrgraham.com,"$26,500,000",Unknown,,
FEV Tutor,Alpine Investors,https://info.fevtutor.com,"$17,500,000",Unknown,,
Focus Edumatics,Alpine Investors,Unknown,"$18,000,000 - $24,000,000",Unknown,,
Frank Gay Services,Alpine Investors,https://frankgayservices.com,"$59,700,000",Unknown,,
Gonzalez Companies,Alpine Investors,https://gonzalezcos.com,Unknown,Unknown,,
Medusind,Alpine Investors,https://medusind.com,"$37,100,000",Unknown,,
Oakline Properties,Alpine Investors,https://oaklineholdings.com,Unknown,Unknown,,
Orion Service Partners,Alpine Investors,Unknown,Unknown,Unknown,,
Rinker Design Associates,Alpine Investors,https://rdacivil.com,"$12,400,000",Unknown,,
Southern Air Heating & Cooling,Alpine Investors,Unknown,Unknown,Unknown,,
