Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Abacus.AI,K1 Investment Management,https://abacus.ai/,18700000,AWS,Azure,GCP
Acceptto,K1 Investment Management,https://www.secureauth.com/,612000,Unknown,,
accessiBe,K1 Investment Management,https://accessibe.com/,88700000,Unknown,,
Actiance,K1 Investment Management,https://www.smarsh.com/,200000000,AWS,,
ActiveStandards,K1 Investment Management,https://www.crownpeak.com/,Unknown,AWS,,
Advance,K1 Investment Management,https://www.advance.com/,Unknown,Unknown,,
Advisor Launchpad,K1 Investment Management,https://www.advisorlaunchpadprogram.com/,Unknown,Unknown,,
Advisors Assistant,K1 Investment Management,https://advisorsassistant.com/,Unknown,Unknown,,
Agency Revolution,K1 Investment Management,https://agencyrevolution.com/,6800000,Unknown,,
All Property Management,K1 Investment Management,https://www.allpropertymanagement.com/,Unknown,Unknown,,
AMCAD,K1 Investment Management,https://www.amcad.com.tw/,53110000,Unknown,,
Anchor Box,K1 Investment Management,https://anchorbox.com/,Unknown,Unknown,,
AnesthesiaGo,K1 Investment Management,https://www.anesthesiago.com/,Unknown,GCP,,
Aperia Compliance,K1 Investment Management,https://aperia.com/,63000000,Private Cloud,,
AppLearn,K1 Investment Management,https://www.applearn.com/,12700000,Unknown,,
Apttus,K1 Investment Management,https://conga.com/,400000000,Unknown,,
AroFlo,K1 Investment Management,https://aroflo.com/,9000000,GCP,,
Atera,K1 Investment Management,https://www.atera.com/,8500000,Azure,,
AtHomeNet,K1 Investment Management,https://www.athomenet.com/,Unknown,Unknown,,
Attraqt,K1 Investment Management,https://www.crownpeak.com/products/product-discovery,24700000,AWS,,
Axcient,K1 Investment Management,https://axcient.com/,50000000,Azure,Axcient Cloud,
AXDRAFT,K1 Investment Management,https://axdraft.com/,Unknown,Unknown,,
Bang the Table,K1 Investment Management,http://www.BangtheTable.com,16400000,Unknown,,
BigChange,K1 Investment Management,https://www.bigchange.com/,12500000,GCP,,
Board Intelligence,K1 Investment Management,https://www.boardintelligence.com/,11800000,Private Cloud,,
Bodhala,K1 Investment Management,https://www.builtinnyc.com/company/bodhala,Unknown,Unknown,,
Botium,K1 Investment Management,https://botium-intl.com/,Unknown,Unknown,,
Brainspace,K1 Investment Management,https://www.brain.space/,5500000,Unknown,,
Buildium,K1 Investment Management,https://www.buildium.com/,46500000,AWS,Azure,GCP
BusyLamp,K1 Investment Management,http://www.busylamp.com/,Unknown,Unknown,,
Caju,K1 Investment Management,https://www.caju.ai/,Unknown,Unknown,,
CallCabinet,K1 Investment Management,https://www.callcabinet.com/,27900000,Azure,,
Calytera,K1 Investment Management,https://www.bonterratech.com/,Unknown,Unknown,,
CampusTap,K1 Investment Management,http://thecampustap.com/,Unknown,Unknown,,
Canvas Talent,K1 Investment Management,https://www.jobvite.com/,10000000,AWS,Azure,GCP
CapControls,K1 Investment Management,http://shareholderinsite.com,1000000,Unknown,,
CapSure Inc.,K1 Investment Management,https://www.capsurellc.com/,Unknown,Unknown,,
Captio,K1 Investment Management,https://www.captio.com/,Unknown,Unknown,,
CAREANIMATIONS,K1 Investment Management,https://careanimations.com/,Unknown,Unknown,,
CareWire,K1 Investment Management,https://www.caringwire.com/,Unknown,Unknown,,
CentraCX,K1 Investment Management,https://cyara.com/products/centracx,8200000,Unknown,,
Certent,K1 Investment Management,https://insightsoftware.com/certent/,11600000,Unknown,,
Certify,K1 Investment Management,https://www.emburse.com/products/certify-is-professional,6700000,Unknown,,
Checkmarx,K1 Investment Management,https://checkmarx.com/,150000000,AWS,Azure,GCP
Chirotouch,K1 Investment Management,https://www.chirotouch.com/,Unknown,Unknown,,
Chrome River,K1 Investment Management,https://emburse.chromeriver.com/,Unknown,Unknown,,
Civica,K1 Investment Management,https://www.civica.com/,800000000,AWS,Azure,Private Cloud
Clarizen,K1 Investment Management,https://www.clarizen.com/,40000000,GCP,,
ClinicSource,K1 Investment Management,https://www.clinicsource.com/,435000,AWS,,
Clockshark,K1 Investment Management,https://www.clockshark.com/,3900000,Unknown,,
Cloudentity,K1 Investment Management,https://www.trevonix.com/cloud-entity/,9400000,Unknown,,
Cloudfinder,K1 Investment Management,https://classic.cloudfinder.axcient.com/,2600000,Unknown,,
Codebashing,K1 Investment Management,https://www.codebashing.com/,Unknown,AWS,,
Cognia,K1 Investment Management,https://www.cognia.org/,35000000,Unknown,,
Cognos,K1 Investment Management,https://www.ibm.com/products/cognos-analytics,74500000,IBM Cloud,AWS,Azure
"Community Investors, Inc. (CII)",K1 Investment Management,https://www.cicchicago.com/,38600000,Unknown,,
Compliance Publishing,K1 Investment Management,https://www.compliancepublishing.com/,525000,Unknown,,
COMPLY (ComplySci),K1 Investment Management,https://www.comply.com/,85300000,Unknown,,
