Portco,PE Firm,Website,Gross Annual Revenue (USD),Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Abrigo,Accel-KKR,https://www.abrigo.com,Unknown,AWS,,
Accertify,Accel-KKR,https://www.accertify.com,Unknown,Azure,,
Acumatica,Accel-KKR,https://www.acumatica.com,"$92,600,000",AWS,,
Agilence,Accel-KKR,https://www.agilenceinc.com,"$16,100,000",AWS,,
Aico,Accel-KKR,https://www.aico.ai,"$595,700",Unknown,,
Airship,Accel-KKR,https://www.airship.com,"$75,000,000",Unknown,,
Appspace,Accel-KKR,https://www.appspace.com,"$16,000,000",Azure,GCP,
Arbiter,Accel-KKR,https://www.arbitersports.com,"$17,000,000",Unknown,,
Basware,Accel-KKR,https://www.basware.com,"$750,000,000",Azure,,
Birdeye,Accel-KKR,https://birdeye.com,"$100,000,000",Unknown,,
Blue Mountain,Accel-KKR,https://www.coolblue.com,"$37,800,000",Unknown,,
Captify,Accel-KKR,https://www.captifytechnologies.com,"$75,000,000",Unknown,,
CareLineLive,Accel-KKR,https://carelinelive.com,"$12,600,000",Unknown,,
Cendyn,Accel-KKR,https://www.cendyn.com,Unknown,AWS,Azure,GCP
Cielo,Accel-KKR,https://www.cielotalent.com,"$409,400,000",Unknown,,
ClickDimensions,Accel-KKR,https://clickdimensions.com,"$25,700,000",Azure,,
Cloud 9 Software,Accel-KKR,https://cloud9.software,"$4,300,000",Unknown,,
Continuity,Accel-KKR,https://www.continuity.net,Unknown,AWS,,
Dalet,Accel-KKR,https://www.dalet.com,"$63,000,000",AWS,,
Delta Data,Accel-KKR,https://www.deltadata.com,"$12,500,000",Unknown,,
Drips,Accel-KKR,https://www.drips.com,"$15,000,000",Azure,,
Duett,Accel-KKR,https://www.duett.no,"$24,650,000",Azure,,
Efreightsolutions,Accel-KKR,https://www.efreightsolutions.com,Unknown,Unknown,,
Ektron,Accel-KKR,https://www.ektron.com,"$12,000,000",Unknown,,
Endalia,Accel-KKR,https://www.endalia.com,Unknown,Unknown,,
Endurance Intl. Group,Accel-KKR,https://www.endurance.com,"$60,935,250",Unknown,,
Engageware,Accel-KKR,https://engageware.com,Unknown,Unknown,,
Enmark,Accel-KKR,https://www.enmark.com,"$10,000,000",Unknown,,
Entersekt,Accel-KKR,https://www.entersekt.com,"$30,800,000",Unknown,,
Enverus,Accel-KKR,https://www.enverus.com,"$48,000,000",AWS,Azure,
Envizi,Accel-KKR,https://www.envizi.com,"$2,100,000",AWS,,
Episerver,Accel-KKR,https://www.optimizely.com,"$400,000,000",Azure,,
ESG,Accel-KKR,https://esgglobal.com,"$12,680,000",Unknown,,
ESO,Accel-KKR,https://www.eso.com,"$124,000,000",Azure,,
ESTELA,Accel-KKR,https://www.estela.com,Unknown,Unknown,,
FastSpring,Accel-KKR,https://fastspring.com,"$23,000,000",AWS,,
FM:Systems,Accel-KKR,https://fmsystems.com,"$9,000,000",Azure,,
Forcura,Accel-KKR,https://forcura.com,"$15,000,000",Azure,,
FRISS,Accel-KKR,https://www.friss.com,"$7,000,000",AWS,,
