Portco,PE Firm,Website,Gross Annual Revenue (USD),Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Air Methods,American Securities,https://www.airmethods.com/,"$1,170,000,000",Azure,Unknown,Unknown
Amentum,American Securities,https://www.amentum.com/,"$8,390,000,000",AWS,Azure,Unknown
American Axle & Manufacturing,American Securities,https://www.aam.com/,"$6,120,000,000",AWS,Azure,Unknown
BELFOR,American Securities,https://www.belfor.com/,"$3,000,000,000",Azure,Unknown,Unknown
Cambridge International,American Securities,https://www.cambridge-es.com/,"$129,100,000",AWS,Azure,GCP
Conair,American Securities,https://www.conair.com/,"$2,110,000,000",Unknown,Unknown,Unknown
Covia,American Securities,https://www.coviacorp.com/,"$1,080,000,000",Azure,Unknown,Unknown
CS Energy,American Securities,https://www.csenergy.com/,Unknown,Azure,Unknown,Unknown
FleetPride,American Securities,https://www.fleetpride.com/,"$1,800,000,000",Azure,Unknown,Unknown
Hexion,American Securities,https://www.hexion.com/,"$1,400,000,000",AWS,Azure,GCP
Integrated Global Services,American Securities,https://integratedglobal.com/,"$140,000,000",AWS,Azure,Unknown
Lakeside Energy,American Securities,https://lakesideenergy.com/,"$18,000,000",Unknown,Unknown,Unknown
Liberty Tire Recycling,American Securities,https://libertytire.com/,Unknown,Unknown,Unknown,Unknown
Meridian Adhesives Group,American Securities,https://meridianadhesives.com/,Unknown,Azure,Unknown,Unknown
Mortgage Contracting Services,American Securities,https://mcs360.com/,"$91,000,000",Unknown,Unknown,Unknown
MVE Biological Solutions,American Securities,https://mvebio.com/,"$84,000,000",AWS,Unknown,Unknown
MW Industries,American Securities,https://www.mwcomponents.com/,"$770,000,000",Unknown,Unknown,Unknown
North American Partners in Anesthesia,American Securities,https://napaanesthesia.com/,Unknown,AWS,Azure,GCP
NWN Carousel,American Securities,https://nwn.ai/,Unknown,Unknown,Unknown,Unknown
OnTrac,American Securities,https://www.ontrac.com/,Unknown,Unknown,Unknown,Unknown
Oregon Tool,American Securities,https://www.oregontool.com/,Unknown,Unknown,Unknown,Unknown
Primary Energy,American Securities,https://primaryenergy.com/,Unknown,Unknown,Unknown,Unknown
RealManage,American Securities,https://www.realmanage.com/,Unknown,Unknown,Unknown,Unknown
SimonMed,American Securities,https://www.simonmed.com/,Unknown,Unknown,Unknown,Unknown
SOLV Energy,American Securities,https://solvenergy.com/,Unknown,Unknown,Unknown,Unknown
