Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Norva24,Apax Partners,https://www.norva24.com/,$299.4 million USD,Unknown,,
CohnReznick,Apax Partners,https://www.cohnreznick.com/,$1.05 billion USD,AWS,,
S&W,Apax Partners,https://www.swgroup.com/,$68.6 million USD,Unknown,,
Veriforce,Apax Partners,https://veriforce.com/,Unknown,Unknown,,
GreytHR,Apax Partners,https://www.greythr.com/,$9.31 million USD,AWS,,
Altus Fire & Life Safety,Apax Partners,https://www.altusfire.com/,Unknown,Unknown,,
Zellis Group,Apax Partners,https://www.zellis.com/,$287.8 million USD,Azure,,
Thoughtworks,Apax Partners,https://www.thoughtworks.com/,$1.13 billion USD,AWS,GCP,
IES,Apax Partners,https://www.iesve.com/,$23.0 million USD,Unknown,,
IANS,Apax Partners,https://www.iansresearch.com/,Unknown,Unknown,,
WGSN,Apax Partners,https://www.wgsn.com/en,Unknown,Unknown,,
Palex Medical,Apax Partners,https://www.palexmedical.com/en/,$712.8 million USD,Unknown,,
