Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
ADT Inc.,Apollo Global Management,https://www.adt.com,"$4,900,000,000",GCP,AWS,Azure
Yahoo Inc.,Apollo Global Management,https://www.yahooinc.com,"$7,400,000,000",GCP,,
"Shutterfly, Inc.",Apollo Global Management,https://shutterflyinc.com,"$2,000,000,000",AWS,Azure,GCP
Novolex,Apollo Global Management,https://novolex.com,"$2,300,000,000",AWS,Azure,GCP
Atlas Air Worldwide,Apollo Global Management,https://www.atlasairworldwide.com,"$4,500,000,000",AWS,GCP,Azure
The Venetian Resort Las Vegas,Apollo Global Management,https://www.venetianlasvegas.com,"$1,510,000,000",AWS,GCP,Azure
Trace3,Apollo Global Management,https://www.trace3.com,"$2,500,000,000",AWS,Azure,GCP
Kelvion,Apollo Global Management,https://www.kelvion.com,Unknown,AWS,,
Stream Data Centers,Apollo Global Management,https://www.streamdatacenters.com,Unknown,AWS,Azure,GCP
Rackspace Technology,Apollo Global Management,https://www.rackspace.com,"$2,740,000,000",AWS,Azure,GCP
Michaels Companies,Apollo Global Management,https://www.michaels.com,"$5,270,000,000",AWS,Azure,GCP
Aspen Insurance Holdings,Apollo Global Management,https://www.aspen.co,"$3,160,000,000",Azure,,
Great Canadian Entertainment,Apollo Global Management,https://greatcanadian.com,"$1,000,000,000",Unknown,,
Soho House & Co,Apollo Global Management,https://www.sohohouse.com,"$1,200,000,000",AWS,Azure,GCP
Hilton Grand Vacations,Apollo Global Management,https://www.hiltongrandvacations.com,"$4,470,000,000",Unknown,,
CommScope,Apollo Global Management,https://www.commscope.com,"$4,210,000,000",Unknown,,
Albertsons Companies,Apollo Global Management,https://www.albertsons.com,"$81,000,000,000",GCP,Azure,
Sabre Corporation,Apollo Global Management,https://www.sabre.com,"$3,030,000,000",GCP,Azure,
"Gannett Co., Inc.",Apollo Global Management,https://www.gannett.com,"$2,500,000,000",GCP,AWS,
