Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Adevinta,Blackstone,https://adevinta.com/,"$1,960,000,000",AWS,GCP,
AGS Airports,Blackstone,https://www.agsairports.co.uk/,"$249,000,000",GCP,,
American Axle,Blackstone,https://www.aam.com/,"$5,830,000,000",Unknown,,
Ancestry,Blackstone,https://www.ancestry.com/,"$1,300,000,000",AWS,GCP,Azure
Bumble,Blackstone,https://bumble.com/,"$1,072,000,000",GCP,,
Candle Media,Blackstone,https://candlemedia.com/,Unknown,Unknown,,
Cineworld,Blackstone,https://www.regalcineworld.com/,"$3,030,000,000",AWS,,
Civica,Blackstone,https://www.civica.com/,"$579,000,000",Azure,,
Copeland,Blackstone,https://www.copeland.com/,"$5,000,000,000",Azure,,
Crown Resorts,Blackstone,https://www.crownresorts.com.au/,"$1,820,000,000",Azure,,
Cvent,Blackstone,https://www.cvent.com/,"$650,000,000",AWS,,
Essel Propack (EPL),Blackstone,https://www.eplglobal.com/,"$390,000,000",Unknown,,
Extended Stay America,Blackstone,https://www.extendedstayamerica.com/,"$1,020,000,000",Unknown,,
HealthMarkets,Blackstone,https://www.healthmarkets.com/,Unknown,Unknown,,
Hilton Grand Vacations,Blackstone,https://www.hilton.com/en/hilton-grand-vacations/,"$4,470,000,000",AWS,GCP,
Houghton Mifflin Harcourt,Blackstone,https://www.hmhco.com/,"$1,050,000,000",GCP,,
International Data Group (IDG),Blackstone,https://www.idc.com/,"$1,000,000,000",Unknown,,
La Quinta Inns & Suites,Blackstone,https://www.wyndhamhotels.com/laquinta/,"$1,000,000,000",AWS,Oracle Cloud,
La Trobe Financial,Blackstone,https://www.latrobefinancial.com.au/,"$685,000,000",Unknown,,
Legence,Blackstone,https://www.wearelegence.com/,"$2,210,000,000",Azure,,
Leica Camera,Blackstone,https://leicacamerausa.com/,"$644,000,000",Unknown,,
Merlin Entertainments,Blackstone,https://www.merlinentertainments.biz/,"$2,650,000,000",AWS,Azure,GCP
Michaels,Blackstone,https://www.michaels.com/,"$5,270,000,000",GCP,Azure,AWS
MNRK Music Group,Blackstone,https://www.mnrk.com/,Unknown,Unknown,,
Motel 6,Blackstone,https://www.motel6.com/,"$1,000,000,000",AWS,Oracle Cloud,
Mphasis,Blackstone,https://www.mphasis.com/,"$1,700,000,000",AWS,GCP,Azure
Paysafe,Blackstone,https://www.paysafe.com/,"$1,710,000,000",AWS,Azure,GCP
PGP Glass,Blackstone,https://pgpglass.com/en/,"$494,000,000",Azure,,
PortAventura Park,Blackstone,https://www.portaventuraworld.com/en,"$750,000,000",Unknown,,
Refinitiv,Blackstone,https://www.lseg.com/en/data-analytics,"$6,250,000,000",Azure,AWS,
Rover,Blackstone,https://www.rover.com/,"$218,000,000",AWS,,
Service King Collision Repair,Blackstone,https://crashchampions.com/,"$3,000,000,000",Azure,,
Servpro,Blackstone,https://www.servpro.com/,Unknown,Unknown,,
SESAC,Blackstone,https://www.sesac.com/,Unknown,Azure,,
Smartsheet Inc.,Blackstone,https://app.smartsheetgov.com/b/m,"$1,080,000,000",AWS,,
Southern Cross Healthcare,Blackstone,https://healthcare.southerncross.co.nz/,"$784,000,000",Unknown,,
Spanx,Blackstone,https://spanx.com/,Unknown,Azure,Shopify,
Stearns Lending,Blackstone,https://stearns.com/,Unknown,Unknown,,
TDC Holding A/S,Blackstone,https://tdcnet.com/,"$2,250,000,000",Unknown,,
TeamHealth,Blackstone,https://www.teamhealth.com/,"$7,350,000,000",AWS,Azure,GCP
Transmission Developers Inc. (TDI),Blackstone,https://chpexpress.com/,Unknown,Unknown,,
Travelport,Blackstone,https://www.travelport.com/,Unknown,Azure,AWS,GCP
United Parks & Resorts,Blackstone,https://unitedparks.com/,"$1,710,000,000",Unknown,,
VFS Global,Blackstone,https://www.vfsglobal.com/,"$136,000,000",AWS,Azure,
Vivint,Blackstone,https://www.vivint.com/,"$1,680,000,000",AWS,Azure,
The Weather Company,Blackstone,https://www.weathercompany.com/,"$750,000,000",AWS,GCP,IBM Cloud
