Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
A-Katsastus,Bridgepoint,https://www.a-katsastus.fi/en/,"$95,200,000",Azure,,
Abion,Bridgepoint,https://abion.com/,"$75,800,000",Azure,AWS,
Achilles,Bridgepoint,https://www.achilles.com/,"$222,300,000",AWS,,
ACT,Bridgepoint,https://www.actgroup.com/,"$75,000,000",Azure,,
Acteon,Bridgepoint,https://www.acteongroup.com/,"$221,900,000",Azure,AWS,
All3Media,Bridgepoint,https://all3media.com/,"$1,143,000,000",AWS,,
Alpha FMC,Bridgepoint,https://alphafmc.com/,"$293,400,000",Azure,,
Analysys Mason,Bridgepoint,https://www.analysysmason.com/,"$90,000,000",AWS,Azure,GCP
Anaveo,Bridgepoint,https://www.anaveo.com/anaveo-group/,"$75,000,000",Azure,,
Argon & Co,Bridgepoint,https://www.argonandco.com/en/,"$189,300,000",Azure,,
Azzurri,Bridgepoint,https://www.azzurrigroup.co.uk/,"$330,000,000",AWS,,
Balt,Bridgepoint,https://baltgroup.com/,"$324,600,000",GCP,,
Bank Machine,Bridgepoint,https://www.ncratleos.com/banking/atm-network-and-allpoint,Unknown,AWS,Azure,
Beck & Pollitzer,Bridgepoint,https://beck-pollitzer.com/,"$79,600,000",AWS,Azure,GCP
bee2link,Bridgepoint,https://bee2linkgroup.com/en/,Unknown,AWS,,
BigHand,Bridgepoint,https://www.bighand.com/en-us/,"$69,700,000",Azure,,
Borawind,Bridgepoint,http://www.borawind.eu,Unknown,AWS,,
Brevo,Bridgepoint,https://www.brevo.com/,"$100,000,000",AWS,Azure,
Burger King France,Bridgepoint,https://www.burgerking.fr/,"$1,054,000,000",AWS,,
Burger King UK,Bridgepoint,https://www.burgerking.co.uk/,"$487,300,000",AWS,Azure,
CABB,Bridgepoint,https://cabb-chemicals.com/,"$653,500,000",AWS,Azure,
Calypso,Bridgepoint,https://www.blackrock.com/aladdin/products/aladdin-alternatives,"$332,000,000",,,
Cambridge Education Group,Bridgepoint,https://www.cambridgeeducationgroup.com/,"$750,000,000",AWS,GCP,
Care UK,Bridgepoint,https://www.careuk.com/,"$626,000,000",Azure,AWS,
CAST Software,Bridgepoint,https://www.castsoftware.com/,"$282,900,000",Azure,AWS,
Cegos Group,Bridgepoint,https://www.cegos.com/en/,"$211,000,000",AWS,,
Compagnie Stéphanoise de Santé,Bridgepoint,https://www.c2s-sante.fr/,"$119,000,000",AWS,,
Condatis,Bridgepoint,https://condatis.com/,Unknown,Azure,,
cruise.co,Bridgepoint,https://www.cruise.co.uk/,"$35,000,000",AWS,Azure,
CTL Logistics,Bridgepoint,https://ctl-ag.de/en/home/,"$31,600,000",GCP,,
Cyrus Conseil,Bridgepoint,https://www.cyrusconseil.fr/,"$49,800,000",Unknown,,
DataExpert,Bridgepoint,https://dataexpert.eu/,"$118,000",AWS,,
Diagnostiskt Centrum Hud,Bridgepoint,https://diagnostisktcentrumhud.se/en/,Unknown,GCP,,
DMC Power,Bridgepoint,https://dmcpower.com/,"$130,000,000",Azure,,
Dorna,Bridgepoint,https://www.dorna.com/,"$514,000,000",AWS,,
Dr Gerard,Bridgepoint,https://drgerard.eu/en/,"$137,500,000",AWS,Azure,
Eckoh,Bridgepoint,https://www.eckoh.com/,"$22,600,000",Azure,,
eFront,Bridgepoint,https://www.blackrock.com/aladdin/products/aladdin-alternatives,"$100,000,000",AWS,,
Element Materials Technology,Bridgepoint,https://www.element.com/,"$1,300,000,000",Unknown,,
Energy Solutions Group,Bridgepoint,https://energysolutionsgroup.be/en/,"$1,360,000,000",Azure,GCP,
Equativ,Bridgepoint,https://www.equativ.com/,"$100,000,000",GCP,,
ERM,Bridgepoint,https://www.erm.com/,"$1,323,000,000",Azure,AWS,
Esker,Bridgepoint,https://www.esker.com/,"$206,600,000",Azure,AWS,
Estera,Bridgepoint,Unknown,Unknown,Azure,,
Evac,Bridgepoint,https://www.evac.com/,Unknown,Azure,AWS,
Evander Glazing & Locks,Bridgepoint,https://www.vpsgroup.com/solutions/human-intervention/glazing-services/residential-glazing-services/,"$58,700,000",AWS,,
EVORIEL,Bridgepoint,https://www.evoriel.fr/,Unknown,AWS,Azure,GCP
FCG,Bridgepoint,https://fcg.fi/en/,"$5,510,000,000",AWS,Azure,GCP
Fenergo,Bridgepoint,https://www.fenergo.com/,"$98,800,000",AWS,,
Fera Science,Bridgepoint,https://www.fera.co.uk/,"$68,100,000",Azure,,
Flexitallic,Bridgepoint,https://flexitallic.com/,"$75,000,000",AWS,,
Foncia,Bridgepoint,https://www.foncia.com/,"$1,353,000,000",AWS,Azure,
Forward Global,Bridgepoint,https://forwardglobal.com/en/,"$3,600,000",AWS,GCP,
fscom,Bridgepoint,https://fscom.co/,"$750,000,000",AWS,Azure,GCP
Groupe CIR,Bridgepoint,https://www.cirgroup.it/en/home/,"$1,958,000,000",AWS,,
Groupe Moniteur,Bridgepoint,https://www.groupemoniteur.fr/,"$2,696,000,000",Unknown,,
Groupe Sinari,Bridgepoint,https://www.sinari.com/en/,"$43,300,000",Azure,,
Groupe Thom,Bridgepoint,https://www.thomgroup.com/,"$1,180,000,000",Azure,GCP,
HBC,Bridgepoint,https://www.hbc.insure/en/,Unknown,AWS,Azure,
Helio Intelligence,Bridgepoint,https://heliointelligence.com/,"$805,900,000",AWS,,
HKA,Bridgepoint,https://www.hka.com/,"$750,000,000",Azure,,
Hobbycraft,Bridgepoint,https://www.hobbycraft.co.uk/,"$259,300,000",Azure,AWS,
HTL Biotechnology,Bridgepoint,https://www.htlbiotechnology.com/,"$150,000,000",AWS,,
Humanetics Group,Bridgepoint,https://www.humaneticsgroup.com/,Unknown,AWS,Azure,
Identicare,Bridgepoint,https://www.identibase.co.uk/,"$2,170,000",Azure,,
IDHL,Bridgepoint,https://www.idhl.co.uk/,Unknown,Azure,,
Infinigate,Bridgepoint,https://www.infinigate.com/,"$2,920,000,000",Azure,,
Infinitas Learning,Bridgepoint,https://www.infinitaslearning.com/,"$34,500,000",AWS,Azure,
Infront Sports & Media,Bridgepoint,https://www.infront.sport/,"$1,090,000,000",AWS,,
Inspired Thinking Group,Bridgepoint,https://inspiredthinking.group/,"$178,600,000",AWS,Azure,
Inspiring Learning,Bridgepoint,https://www.inspiring-learning.com/,"$1,141,000,000",AWS,,
Kereis,Bridgepoint,https://www.kereis.com/,Unknown,AWS,Azure,GCP
Kerv Group,Bridgepoint,https://kerv.com/,"$22,100,000",Azure,AWS,
KGH Customs Services,Bridgepoint,https://www.maersk.com/kghcustoms,"$95,500,000",Azure,AWS,
Kyriba,Bridgepoint,https://www.kyriba.com/,Unknown,AWS,Azure,GCP
LanguageWire,Bridgepoint,https://www.languagewire.com/,"$65,000,000",,,
Leeds Bradford Airport,Bridgepoint,https://www.leedsbradfordairport.co.uk/,"$27,200,000",AWS,,
