Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
agilon health,Clayton Dubilier & Rice,https://www.agilonhealth.com/,"$6,060,000,000",AWS,Unknown,Unknown
American Greetings,Clayton Dubilier & Rice,https://www.americangreetings.com/,"$1,600,000,000",AWS,Azure,Unknown
Artera Services,Clayton Dubilier & Rice,https://www.artera.com/,"$2,400,000,000",Unknown,Unknown,Unknown
Belron,Clayton Dubilier & Rice,https://www.belron.com/,"$6,000,000,000",Unknown,Unknown,Unknown
Brand Industrial Services,Clayton Dubilier & Rice,https://brandsafway.com/,"$5,000,000,000",Unknown,Unknown,Unknown
Carestream Dental,Clayton Dubilier & Rice,https://www.carestreamdental.com/en-us/,Unknown,Unknown,Unknown,Unknown
Cloudera,Clayton Dubilier & Rice,https://www.cloudera.com/,"$900,000,000",AWS,Azure,GCP
Cornerstone Building Brands,Clayton Dubilier & Rice,https://www.cornerstonebuildingbrands.com/,"$5,580,000,000",Unknown,Unknown,Unknown
Covetrus,Clayton Dubilier & Rice,https://covetrus.com/,"$4,640,000,000",AWS,Azure,Unknown
CRC Group,Clayton Dubilier & Rice,https://www.crcgroup.com/,Unknown,AWS,Azure,GCP
Drive DeVilbiss Healthcare,Clayton Dubilier & Rice,https://drivedevilbiss.com/en,Unknown,Unknown,Unknown,Unknown
Epicor,Clayton Dubilier & Rice,https://www.epicor.com/,"$1,050,000,000",Azure,Unknown,Unknown
Exclusive Networks,Clayton Dubilier & Rice,https://www.exclusive-networks.com/usa/,"$1,670,000,000",AWS,Azure,GCP
Focus Financial Partners,Clayton Dubilier & Rice,https://focuspartners.com/,"$2,200,000,000",Unknown,Unknown,Unknown
Foundation Building Materials,Clayton Dubilier & Rice,https://www.fbmsales.com/,"$3,400,000,000",Unknown,Unknown,Unknown
Gentiva Health Services,Clayton Dubilier & Rice,https://www.gentivahs.com/,Unknown,Azure,Unknown,Unknown
Indicor,Clayton Dubilier & Rice,https://www.indicor.com/,"$1,000,000,000",Unknown,Unknown,Unknown
Inizio,Clayton Dubilier & Rice,https://inizio.com/,"$1,730,600,000",Unknown,Unknown,Unknown
Kalle Group,Clayton Dubilier & Rice,https://www.kallegroup.com/,"$269,000,000",Unknown,Unknown,Unknown
Mobilux,Clayton Dubilier & Rice,https://but-corporate.fr/en/qui-sommes-nous/,"$4,290,000,000",Unknown,Unknown,Unknown
Morrisons,Clayton Dubilier & Rice,https://www.morrisons.com/,"$21,500,000,000",AWS,GCP,Unknown
Mosaic Health,Clayton Dubilier & Rice,https://www.gentivahs.com/,Unknown,Unknown,Unknown,Unknown
Motor Fuel Group,Clayton Dubilier & Rice,https://www.motorfuelgroup.com/,"$7,050,000,000",AWS,Azure,GCP
Multi-Color Corporation,Clayton Dubilier & Rice,https://www.mcclabel.com/en/about,"$3,000,000,000",Unknown,Unknown,Unknown
OCS,Clayton Dubilier & Rice,https://www.ocs.com/,Unknown,Azure,Unknown,
Opella,Clayton Dubilier & Rice,https://www.opella.com/our-countries/en-us,"$5,700,000,000",Unknown,Unknown,Unknown
PetSafe Brands,Clayton Dubilier & Rice,https://petsafebrands.com/petsafe/,"$300,000,000",AWS,Azure,Unknown
Presidio,Clayton Dubilier & Rice,https://www.presidio.com/,"$3,000,000,000",AWS,Unknown,Unknown
Pursuit Aerospace,Clayton Dubilier & Rice,https://pursuitaero.com/,"$800,000,000",Azure,AWS,Unknown
R1 RCM,Clayton Dubilier & Rice,https://www.r1rcm.com/,"$2,460,000,000",Unknown,Unknown,Unknown
Resideo,Clayton Dubilier & Rice,https://www.resideo.com/,"$6,370,000,000",Unknown,Unknown,Unknown
S&S Activewear,Clayton Dubilier & Rice,https://www.ssactivewear.com/,"$2,106,000,000",AWS,Azure,GCP
Sharp,Clayton Dubilier & Rice,https://www.sharp.eu/,Unknown,Unknown,Unknown,Unknown
Shearer's Foods,Clayton Dubilier & Rice,https://www.shearers.com/,Unknown,Unknown,Unknown,Unknown
SIG plc,Clayton Dubilier & Rice,https://www.sigplc.com/,"$4,030,000,000",Unknown,Unknown,Unknown
SOCOTEC,Clayton Dubilier & Rice,https://www.socotec.us/,"$2,300,000,000",Unknown,Unknown,Unknown
SunSource,Clayton Dubilier & Rice,https://www.sun-source.com/,"$320,000,000",Unknown,Unknown,Unknown
TruGreen,Clayton Dubilier & Rice,https://www.trugreen.com/,Unknown,Unknown,Unknown,Unknown
Veritiv,Clayton Dubilier & Rice,https://www.veritiv.com/,"$6,090,000,000",Unknown,Unknown,Unknown
Vialto Partners,Clayton Dubilier & Rice,https://vialtopartners.com/,Unknown,Unknown,Unknown,Unknown
Westbury Street Holdings,Clayton Dubilier & Rice,https://wshlimited.com/,"$1,400,000,000",Unknown,Unknown,Unknown
White Cap,Clayton Dubilier & Rice,https://www.whitecap.com/,Unknown,Unknown,Unknown,Unknown
Wilsonart,Clayton Dubilier & Rice,https://www.wilsonartengineeredsurfaces.com/,"$1,400,000,000",Unknown,Unknown,Unknown
Wolseley UK,Clayton Dubilier & Rice,https://www.wolseley.co.uk/,Unknown,Unknown,Unknown,Unknown
Zephyr AI,Clayton Dubilier & Rice,https://zephyrai.bio/,Unknown,Unknown,Unknown,Unknown
