Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
A Bathing Ape,CVC Capital Partners,https://us.bape.com/,"$750,000,000",Unknown,,
Aavas Financiers,CVC Capital Partners,https://www.aavas.in/,"$158,760,000",Unknown,,
Advantage Solutions,CVC Capital Partners,https://youradv.com/,"$3,570,000,000",Unknown,,
AHAM Capital,CVC Capital Partners,https://aham.com.my/,"$101,700,000",Azure,,
AlixPartners,CVC Capital Partners,https://www.alixpartners.com/,"$750,000,000",Azure,,
Alvogen,CVC Capital Partners,https://www.alvogen.com/,"$1,100,000,000",Unknown,,
Authentic Brands Group,CVC Capital Partners,https://corporate.authentic.com/,"$32,000,000,000",Unknown,,
Avast,CVC Capital Partners,https://www.avast.com/,"$831,000,000",Unknown,,
Breitling,CVC Capital Partners,https://www.breitling.com/,"$750,000,000",Unknown,,
Dorna Sports,CVC Capital Partners,https://www.dorna.com/,"$508,250,000",AWS,,
Formula One Group,CVC Capital Partners,https://corp.formula1.com/,"$3,650,000,000",AWS,,
Lipton Teas and Infusions,CVC Capital Partners,https://www.lipton.com/,"$5,000,000,000",Unknown,,
Merlin Entertainments,CVC Capital Partners,https://www.merlinentertainments.biz/,"$2,625,000,000",Tencent Cloud,,
Paysafe,CVC Capital Partners,https://www.paysafe.com/,"$1,700,000,000",AWS,Azure,
Petco,CVC Capital Partners,https://corporate.petco.com/,"$6,110,000,000",AWS,,
RAC Limited,CVC Capital Partners,https://www.rac.co.uk/,"$1,030,000,000",Unknown,,
Razer,CVC Capital Partners,https://www.razer.com/,"$1,610,000,000",Unknown,,
TMF Group,CVC Capital Partners,https://www.tmf-group.com/,"$970,170,000",AWS,Azure,
Wireless Logic,CVC Capital Partners,https://wirelesslogic.com/,"$75,000,000",Unknown,,
Żabka,CVC Capital Partners,https://zabkagroup.com/,"$5,950,000,000",Azure,,
