Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
AHEAD,Court Square Capital,https://www.ahead.com/,"$4,000,000,000",AWS,Azure,GCP
Advanced Diabetes Supply,Court Square Capital,https://advanceddiabetessupply.com/,"$1,000,000,000",Unknown,,
Airxcel,Court Square Capital,https://www.airxcel.com/,Unknown,Unknown,,
AmeriSource Health Corporation,Court Square Capital,https://www.cencora.com/,"$293,959,000,000",Unknown,,
Arizant Healthcare,Court Square Capital,https://www.3m.com/,"$24,575,000,000",AWS,,
Celerion,Court Square Capital,https://www.celerion.com/,"$750,000,000",Unknown,,
Connatix (JWP Connatix),Court Square Capital,https://jwpconnatix.com/,Unknown,AWS,GCP,Azure
Data Axle,Court Square Capital,https://www.data-axle.com/,Unknown,Unknown,,
DISA,Court Square Capital,https://disa.com/,Unknown,Unknown,,
Dynata,Court Square Capital,https://www.dynata.com/,Unknown,Unknown,,
Eon Labs,Court Square Capital,https://www.eonlabs.org/,Unknown,Unknown,,
Ergo Science,Court Square Capital,https://ergoscience.com/,Unknown,Unknown,,
Evans Network of Companies,Court Square Capital,https://www.theenoc.com/,Unknown,Unknown,,
Five Star Parks & Attractions,Court Square Capital,https://fivestarparks.com/,Unknown,Unknown,,
Getaroom,Court Square Capital,https://www.getaroom.com/,Unknown,Unknown,,
Health Union,Court Square Capital,https://health-union.com/,Unknown,Unknown,,
Integrated Prescription Management,Court Square Capital,https://ipm.rxipm.com/,Unknown,Unknown,,
Kodiak Building Partners,Court Square Capital,https://kodiakbp.com/,Unknown,Unknown,,
MacDermid,Court Square Capital,https://www.macdermid.com/,Unknown,Unknown,,
Medical Knowledge Group,Court Square Capital,https://www.mkgny.com/,"$56,000,000",Unknown,,
Offen Petroleum,Court Square Capital,https://offenpetro.com/,Unknown,Unknown,,
Pike Corporation,Court Square Capital,https://www.pike.com/,Unknown,Unknown,,
PlayCore,Court Square Capital,https://www.playcore.com/,Unknown,Unknown,,
Power Digital,Court Square Capital,https://powerdigitalmarketing.com/,"$220,000,000",GCP,,
Rocket Software,Court Square Capital,https://www.rocketsoftware.com/,Unknown,Unknown,,
Soleo Health,Court Square Capital,https://soleohealth.com/,Unknown,Unknown,,
System1,Court Square Capital,https://system1.com/,Unknown,Unknown,,
Team Select Home Care,Court Square Capital,https://teamselecthh.com/,Unknown,Unknown,,
Terra Millennium,Court Square Capital,https://www.tmc-us.com/,Unknown,Unknown,,
Thrive,Court Square Capital,https://thrivenextgen.com/,Unknown,Unknown,,
uPerform,Court Square Capital,https://www.uperform.com/,Unknown,Unknown,,
Velosio,Court Square Capital,https://www.velosio.com/,Unknown,Unknown,,
Veregy,Court Square Capital,https://veregy.com/,Unknown,Unknown,,
Western Dental,Court Square Capital,https://www.westerndental.com/,Unknown,Unknown,,
