Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
1X,EQT,https://www.1x.tech,Unknown,AWS,Azure,GCP
3Shape,EQT,https://www.3shape.com,474000000,Azure,,
Acumatica,EQT,https://www.acumatica.com,92600000,AWS,,
Acuon Capital,EQT,https://www.acuoncapital.com,613000000,Unknown,,
Agomab Therapeutics,EQT,https://agomab.com,Unknown,Unknown,,
AIG Hospitals,EQT,https://aighospitals.com,177500000,AWS,,
Aleris,EQT,https://www.alerisgroup.com,Unknown,Unknown,,
Allee Center,EQT,https://www.allee-center-leipzig.de,N/A,Unknown,,
Am-Pharma,EQT,https://www.am-pharma.com,Unknown,Unknown,,
AMCS,EQT,https://www.amcsgroup.com,310500000,Azure,,
Anticimex,EQT,https://www.anticimex.com,1600000000,Azure,,
AnyDesk,EQT,https://anydesk.com,123350000,Other,,
Anyfin,EQT,https://anyfin.com/en_SE,67000000,Unknown,,
APAC HR Tech,EQT,Unknown,Unknown,Unknown,,
Arcwood Environmental,EQT,https://arcwoodenviro.com,Unknown,Unknown,,
Ardoq,EQT,https://www.ardoq.com,36400000,Azure,AWS,
Argil,EQT,https://www.argil.ai,260000,Unknown,,
Ariceum Therapeutics,EQT,https://ariceum-therapeutics.com,Unknown,Unknown,,
Artios Pharma,EQT,https://www.artios.com,16500000,Unknown,,
Asceneuron,EQT,https://asceneuron.com,Unknown,Unknown,,
AstronauTx,EQT,https://astronautx.bio,Unknown,Unknown,,
Atalanta Therapeutics,EQT,https://www.atalantatx.com,Unknown,Unknown,,
ATB Therapeutics,EQT,https://www.atbtherapeutics.com,Unknown,Unknown,,
Atlantic Therapeutics,EQT,https://uk.myinnovo.com,Unknown,Unknown,,
Atricom and Le Büro,EQT,Unknown,N/A,N/A,,
Avetta,EQT,https://www.avetta.com,17000000,Unknown,,
AviadoBio,EQT,https://aviadobio.com,Unknown,Unknown,,
Avidicure,EQT,https://avidicure.com,Unknown,Unknown,,
Azelis,EQT,https://www.azelis.com,4410000000,Unknown,,
Baller League,EQT,https://www.ballerfc.com,Unknown,Unknown,,
Banking Circle Group,EQT,https://www.bankingcirclegroup.com,400000000,Unknown,,
Beamery,EQT,https://beamery.com,Unknown,Unknown,,
Beijer Ref,EQT,https://www.beijerref.nl/en/,3040000000,Unknown,,
Benesse,EQT,https://benesse-artsite.jp/en/,Unknown,Unknown,,
Bespak,EQT,https://bespak.com,235000000,Unknown,,
Billhop,EQT,https://careers.billhop.com,1250000,Unknown,,
Billtrust,EQT,https://www.billtrust.com,180000000,Unknown,,
BIM Object,EQT,https://www.bimobject.com,17000000,Unknown,,
Binx Health,EQT,https://mybinxhealth.com,Unknown,Unknown,,
Biolevate,EQT,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/biolevate-mkt.46f42d2b-2190-499d-a5e6-436dcc283b54?tab=Overview,Unknown,Azure,,
BLOOM FRESH International,EQT,https://bloomfreshglobal.com,143000000,Unknown,,
Bluebook,EQT,https://www.legalbluebook.com,Unknown,Unknown,,
BluumBio,EQT,http://www.bluumbio.com,Unknown,Unknown,,
Buena,EQT,Unknown,N/A,N/A,,
Candela,EQT,https://www.candelacorp.com,Unknown,Unknown,,
Cardiac Dimensions,EQT,https://cardiacdimensions.com,Unknown,Unknown,,
Cast & Crew,EQT,https://www.castandcrew.com,45000000,Unknown,,
Cemvision,EQT,https://www.cemvision.tech,Unknown,Unknown,,
Cerba Healthcare,EQT,https://www.lab-cerba.com/en/,59400000,Unknown,,
CFC,EQT,https://www.cfc.com/en-us/,347000000,Unknown,,
Charly,EQT,https://us.charly.com,1000000,Unknown,,
China Shine,EQT,Unknown,Unknown,Unknown,,
Cirba Solutions,EQT,https://www.cirbasolutions.com,35000000,Unknown,,
Citius Tech,EQT,https://www.citiustech.com,425000000,GCP,,
Cleo,EQT,Unknown,280000000,Unknown,,
ClexBio,EQT,https://www.clexbio.com,154000,Unknown,,
CluePoints,EQT,https://cluepoints.com,9100000,Unknown,,
Codacy,EQT,https://www.codacy.com,18200000,Unknown,,
Codemao,EQT,Unknown,Unknown,Unknown,,
Colisee,EQT,https://www.colisee-group.com/en/,1700000000,Unknown,,
Colossi Games,EQT,https://www.colossi.games,Unknown,Unknown,,
Compass Education,EQT,https://www.compass.education,47500000,Unknown,,
Concept,EQT,https://www.homeconcept.fr/en/,N/A,N/A,,
