Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
360 Privacy,FTV Capital,https://360privacy.io/,"$9,300,000",AWS,Azure,
6 Degrees Health,FTV Capital,https://6degreeshealth.com/,Unknown,Unknown,,
A-LIGN,FTV Capital,https://www.a-lign.com/,Unknown,Unknown,,
Actimize,FTV Capital,https://www.niceactimize.com/,"$2,740,000,000",Azure,AWS,
Agiloft,FTV Capital,https://www.agiloft.com/,Unknown,Unknown,,
APEX Fund Services,FTV Capital,https://www.apexgroup.com/,"$24,600,000",AWS,Azure,GCP
Arden Insurance Services,FTV Capital,https://www.ardeninsure.ai/,"$150,000,000",AWS,,
Aspire Financial Services,FTV Capital,https://www.aspirets.com/,"$50,400,000",Azure,,
Aveksa,FTV Capital,https://www.aveksa.com/,Unknown,Unknown,,
Basis,FTV Capital,https://basis.net/,Unknown,Unknown,,
BillingPlatform,FTV Capital,https://billingplatform.com/,Unknown,Unknown,,
Bluegill Technologies,FTV Capital,https://www.bluegilltech.com/,Unknown,Unknown,,
ButterflyMX,FTV Capital,https://butterflymx.com/,Unknown,Unknown,,
CardConnect,FTV Capital,https://www.cardconnect.com/,"$589,300,000",AWS,Azure,GCP
Cashstar,FTV Capital,https://blackhawknetwork.com/lets-talk/faq/cashstar,"$44,000,000",AWS,Azure,GCP
Castle Pines Capital,FTV Capital,https://castlepinesequity.com/,"$10,000,000",AWS,Azure,GCP
Catalyst Repository Systems,FTV Capital,https://www.catalystsecure.com/,Unknown,Unknown,,
Centaur,FTV Capital,http://www.centaurasset.com/,"$100,000,000",AWS,Azure,GCP
CloudFactory,FTV Capital,https://www.cloudfactory.com/,Unknown,Unknown,,
Cloudmark,FTV Capital,https://www.cloudmark.com/,Unknown,Unknown,,
Company.com,FTV Capital,https://www.company.com/,Unknown,Unknown,,
ConnexPay,FTV Capital,https://www.connexpay.com/,"$100,000,000",AWS,Azure,GCP
Coremetrics,FTV Capital,https://www.coremetrics.com/,Unknown,Unknown,,
Covario,FTV Capital,https://covario.com/,Unknown,Unknown,,
DataArt,FTV Capital,https://www.dataart.com/,Unknown,Unknown,,
Daylight Forensic,FTV Capital,https://www.daylightforensic.com/,Unknown,Unknown,,
Derivative Path,FTV Capital,https://derivativepath.com/,"$35,000,000",AWS,Azure,GCP
Docupace,FTV Capital,https://www.docupace.com/,"$888,000",AWS,Azure,GCP
EBANX,FTV Capital,https://www.ebanx.com/,"$360,900,000",AWS,Azure,GCP
eBaoTech,FTV Capital,https://www.ebaotech.com/,"$2,070,000",AWS,Azure,GCP
Edgewater Markets,FTV Capital,https://www.edgewatermarkets.com/,"$30,000,000",AWS,,
eLoan,FTV Capital,https://www.eloan.com/,"$135,000,000",AWS,Azure,GCP
Egress,FTV Capital,https://www.egress.com/,Unknown,Unknown,,
Embroker,FTV Capital,https://www.embroker.com/,"$35,000,000",AWS,Azure,GCP
Enfusion,FTV Capital,https://www.enfusion.com/,"$201,610,000",AWS,Azure,GCP
ETF Securities,FTV Capital,https://www.etfsecurities.com/,"$399,000,000",AWS,Azure,GCP
EXL Service,FTV Capital,https://www.exlservice.com/,"$1,840,000,000",AWS,Azure,
Financial Engines,FTV Capital,https://www.edelmanfinancialengines.com/,"$424,000,000",AWS,Azure,GCP
Finaro,FTV Capital,https://usefinaro.online/,"$66,600,000",AWS,Azure,GCP
