Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Accela,Francisco Partners,https://www.accela.com/,75000000,Azure,,
Acoustic,Francisco Partners,https://www.acoustic.com/,49900000,Azure,AWS,GCP
AdvancedMD,Francisco Partners,https://www.advancedmd.com/,250000000,AWS,,
Aeries Software,Francisco Partners,https://www.aeries.com/,Unknown,AWS,,
AndHealth,Francisco Partners,https://andhealth.com/,Unknown,GCP,,
Avalon,Francisco Partners,https://www.avalonhcs.com/,Unknown,AWS,,
BARBRI,Francisco Partners,https://www.barbri.com/,Unknown,Azure,,
Betterment,Francisco Partners,https://www.betterment.com/,153400000,AWS,GCP,
BeyondTrust,Francisco Partners,https://www.beyondtrust.com/,315000000,AWS,Azure,GCP
Black Duck,Francisco Partners,https://www.blackducksoftware.com/,67700000,AWS,Azure,GCP
Blancco,Francisco Partners,https://www.blancco.com/,50500000,Unknown,,
Boomi,Francisco Partners,https://boomi.com/,500000000,Unknown,,
bswift,Francisco Partners,https://www.bswift.com/,157500000,Azure,,
Civitas Learning,Francisco Partners,https://www.civitaslearning.com/,35000000,AWS,,
Discovery Education,Francisco Partners,https://www.discoveryeducation.com/,Unknown,Azure,GCP,
Drawbridge,Francisco Partners,https://drawbridgeco.com/,Unknown,Unknown,,
Dynamo,Francisco Partners,https://www.dynamosoftware.com/,Unknown,AWS,Azure,GCP
e2Open,Francisco Partners,https://www.e2open.com/,Unknown,Unknown,,
EG,Francisco Partners,https://www.eg.group/,24200000000,Unknown,,
Elite,Francisco Partners,https://www.elite.com/,84040000,Unknown,,
Evite,Francisco Partners,https://www.evite.com/,Unknown,Unknown,,
Follett Software,Francisco Partners,https://www.follett.com/,3200000000,Azure,,
Forcepoint,Francisco Partners,https://www.forcepoint.com/,648600000,AWS,Azure,GCP
GainSystems,Francisco Partners,https://www.gainsystems.com/,Unknown,Unknown,,
Glorious,Francisco Partners,https://www.gloriousgaming.com/,Unknown,Unknown,,
GoodRx,Francisco Partners,https://www.goodrx.com/,Unknown,Unknown,,
GoTo,Francisco Partners,https://www.goto.com/,1000000000,Unknown,,
Greenslate,Francisco Partners,https://www.gslate.com/,Unknown,Unknown,,
iboss,Francisco Partners,https://www.iboss.com/,94300000,Azure,,
Jama Software,Francisco Partners,https://www.jamasoftware.com/,1600000,Azure,AWS,
Keyloop,Francisco Partners,https://keyloop.com/,750000000,AWS,,
Kobalt,Francisco Partners,https://www.kobaltmusic.com/,Unknown,Unknown,,
Kyruus,Francisco Partners,https://www.kyruus.com/,Unknown,Unknown,,
LastPass,Francisco Partners,https://www.lastpass.com/,200000000,AWS,,
LegalZoom,Francisco Partners,https://www.legalzoom.com/,Unknown,Unknown,,
Litmos,Francisco Partners,https://www.litmos.com/,75000000,Unknown,,
LiveU,Francisco Partners,https://www.liveu.tv/,Unknown,Unknown,,
Lucidworks,Francisco Partners,https://lucidworks.com/,75000000,Azure,,
Matrixx Software,Francisco Partners,https://www.matrixx.com/,Unknown,Unknown,,
Merative,Francisco Partners,https://www.merative.com/,555000000,Azure,AWS,GCP
Movella,Francisco Partners,https://www.movella.com/,Unknown,Unknown,,
Muse Group,Francisco Partners,https://mu.se/,Unknown,Unknown,,
MyFitnessPal,Francisco Partners,https://www.myfitnesspal.com/,310000000,AWS,,
MyHeritage,Francisco Partners,https://www.myheritage.com/,Unknown,Unknown,,
Native Instruments,Francisco Partners,https://www.native-instruments.com/,75000000,Unknown,,
New Relic,Francisco Partners,https://newrelic.com/,960000000,AWS,Azure,GCP
News Break,Francisco Partners,https://www.newsbreak.com/,Unknown,Unknown,,
NMI,Francisco Partners,https://www.nmi.com/,Unknown,AWS,GCP,
nShift,Francisco Partners,https://nshift.com/,Unknown,Unknown,,
NZXT,Francisco Partners,https://nzxt.com/,Unknown,Unknown,,
Office Ally,Francisco Partners,https://officeally.com/,Unknown,AWS,Azure,GCP
Operative,Francisco Partners,https://www.operative.com/,Unknown,Unknown,,
Orisha,Francisco Partners,https://www.orisha.com/en/,323400000,Unknown,,
Paradigm,Francisco Partners,https://www.paradigmid.com/,Unknown,Unknown,,
Payscale,Francisco Partners,https://www.payscale.com/,Unknown,Unknown,,
Paysafe,Francisco Partners,https://www.paysafe.com/,1700000000,AWS,Azure,
Perforce,Francisco Partners,https://www.perforce.com/,Unknown,AWS,,
Pet Circle,Francisco Partners,https://www.petcircle.com.au/,Unknown,Unknown,,
Property Finder,Francisco Partners,https://www.propertyfinder.ae/,Unknown,Unknown,,
Prosper,Francisco Partners,https://www.prosper.com/,Unknown,Unknown,,
Quorum Software,Francisco Partners,https://www.qbsol.com/,Unknown,Unknown,,
RBmedia,Francisco Partners,https://rbmediaglobal.com/,Unknown,Unknown,,
Reciprocity,Francisco Partners,https://www.reciprocity.com/,Unknown,Unknown,,
Redis,Francisco Partners,https://redis.com/,750000000,AWS,,
Redsail Technologies,Francisco Partners,https://www.redsailtechnologies.com/,Unknown,AWS,Azure,
Renaissance,Francisco Partners,https://www.renaissance.com/,750000000,AWS,,
SmartBear,Francisco Partners,https://smartbear.com/,24000000,AWS,,
Sonicwall,Francisco Partners,https://www.sonicwall.com/,480000000,Unknown,,
SourceScrub,Francisco Partners,https://www.sourcescrub.com/,Unknown,AWS,Azure,
ST Math,Francisco Partners,https://www.stmath.com/,Unknown,AWS,GCP,
STARLIMS,Francisco Partners,https://www.starlims.com/,Unknown,AWS,,
Sumo Logic,Francisco Partners,https://www.sumologic.com/,300000000,GCP,,
Symplr,Francisco Partners,https://www.symplr.com/,318600000,AWS,,
Teachers Curriculum Institute (TCI),Francisco Partners,https://www.teachtci.com/,Unknown,AWS,GCP,
The Weather Company,Francisco Partners,https://www.weather.com/,Unknown,Unknown,,
Thinventory,Francisco Partners,https://www.thinventory.com/,Unknown,Unknown,,
ThriveDX,Francisco Partners,https://thrivedx.com/,Unknown,Unknown,,
TouchBistro,Francisco Partners,https://www.touchbistro.com/,Unknown,Unknown,,
TS Imagine,Francisco Partners,https://tsimagine.com/,128000000,GCP,,
UnifiedPost,Francisco Partners,https://www.unifiedpost.com/,86940000,GCP,,
Vendavo,Francisco Partners,https://www.vendavo.com/,Unknown,Unknown,,
Veradigm,Francisco Partners,https://veradigm.com/,588020000,Azure,,
Verifone,Francisco Partners,https://www.verifone.com/,871700000,AWS,,
Veson Nautical,Francisco Partners,https://veson.com/,Unknown,Unknown,,
VitalSource,Francisco Partners,https://www.vitalsource.com/,Unknown,Unknown,,
Waystar,Francisco Partners,https://www.waystar.com/,Unknown,Unknown,,
Zocdoc,Francisco Partners,https://www.zocdoc.com/,Unknown,Unknown,,
Zotec Partners,Francisco Partners,https://zotecpartners.com/,Unknown,Unknown,,
