Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
"3SI Security Systems, Inc.",Goldman Sachs Asset Management,https://www.3sisecurity.com/,Unknown,Unknown,,
"A Place For Mom, Inc.",Goldman Sachs Asset Management,https://www.aplaceformom.com/,"$622,800,000",Unknown,,
ABC Investment Holdco Inc. (dba ABC Plumbing),Goldman Sachs Asset Management,https://www.4abc.com/,"$4,500,000",Unknown,,
"Acuity Specialty Products, Inc. (dba Zep Inc.)",Goldman Sachs Asset Management,https://zep.com/,"$750,000,000",GCP,AWS,Azure
"Admiral Buyer, Inc. (dba Fidelity Payment Services)",Goldman Sachs Asset Management,https://solapayments.com/,Unknown,Unknown,,
"AI Titan Parent, Inc. (dba Prometheus)",Goldman Sachs Asset Management,https://prometheus.io/,"$241,500,000",AWS,GCP,
"Animal Supply Holdings, LLC",Goldman Sachs Asset Management,https://www.petfoodexperts.com/,"$420,000,000",Unknown,,
"Aria Systems, Inc.",Goldman Sachs Asset Management,https://www.ariasystems.com/,"$75,000,000",Unknown,,
"Ark Data Centers, LLC",Goldman Sachs Asset Management,https://www.arkdna.com/,"$75,000,000",AWS,Azure,GCP
"Arrow Buyer, Inc. (dba Archer Technologies)",Goldman Sachs Asset Management,https://www.archerirm.com/,"$294,400,000",AWS,Azure,
"ASM Buyer, Inc.",Goldman Sachs Asset Management,https://www.asm.com/,"$3,552,000,000",Unknown,,
"Assembly Intermediate, LLC",Goldman Sachs Asset Management,https://www.assemblyglobal.com/,"$2,100,000,000",AWS,Azure,GCP
ATX Networks Corp.,Goldman Sachs Asset Management,https://atx.com/,"$100,000,000",Unknown,,
"AuditBoard, Inc.",Goldman Sachs Asset Management,https://www.auditboard.com/,"$200,000,000",AWS,Azure,
"Artifact Bidco, Inc. (dba Avetta)",Goldman Sachs Asset Management,https://www.avetta.com/,"$212,000,000",Unknown,,
Bazooka Candy Brands,Goldman Sachs Asset Management,https://www.bazookacandybrands.com/,"$100,000,000",Unknown,,
"BSI3 Menu Buyer, Inc (dba Kydia)",Goldman Sachs Asset Management,https://get.beyondmenu.com/,"$72,100,000",AWS,Azure,GCP
"Bullhorn, Inc.",Goldman Sachs Asset Management,https://www.bullhorn.com/,"$335,300,000",AWS,,
"Businessolver.com, Inc.",Goldman Sachs Asset Management,https://www.businessolver.com/,"$296,000,000",Unknown,,
Capitol Imaging Services,Goldman Sachs Asset Management,https://capitolimagingservices.com/,"$150,000,000",AWS,Azure,
"CFS Management, LLC (dba Center for Sight Management)",Goldman Sachs Asset Management,https://centerforsight.net/,"$81,100,000",AWS,Azure,GCP
"Charger Debt Merger Sub, LLC (dba Classic Collision)",Goldman Sachs Asset Management,https://classiccollision.com/,"$1,300,000,000",Unknown,,
"Chase Industries, Inc. (dba Senneca Holdings)",Goldman Sachs Asset Management,https://www.senneca.com/,"$1,570,000,000",Azure,AWS,GCP
"Checkmate Finance Merger Sub, LLC",Goldman Sachs Asset Management,https://www.itsacheckmate.com/,"$123,200,000",AWS,Azure,GCP
Chronicle Bidco Inc. (dba Lexitas),Goldman Sachs Asset Management,https://www.lexitaslegal.com/,"$292,200,000",Unknown,,
"CI (Quercus) Intermediate Holdings, LLC (dba SavATree)",Goldman Sachs Asset Management,https://www.savatree.com/,"$750,000,000",Unknown,,
"Circustrix Holdings, LLC (dba SkyZone)",Goldman Sachs Asset Management,https://www.skyzone.com/,"$380,000,000",Unknown,,
CivicPlus LLC,Goldman Sachs Asset Management,https://www.civicplus.com/,"$750,000,000",Unknown,,
Clearcourse,Goldman Sachs Asset Management,https://www.clearcourse.co.uk/,"$750,000,000",AWS,Azure,GCP
"Abacus Data Holdings, Inc. (dba Clutch Intermediate Holdings)",Goldman Sachs Asset Management,https://www.clutch.com/,"$50,000,000",AWS,Azure,GCP
EnableComp,Goldman Sachs Asset Management,https://enablecomp.com/,Unknown,Unknown,,
Oliver Packaging,Goldman Sachs Asset Management,https://www.oliverquality.com/,"$95,000,000",AWS,,
Professional Physical Therapy (dba Pro-PT),Goldman Sachs Asset Management,https://pro-pt.net/,Unknown,,,
SurePoint,Goldman Sachs Asset Management,https://surepoint.com/,"$15,000,000",AWS,,
