Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
VAST Data,Greenfield Growth,http://Vastdata.com,"200,000,000",Azure,GCP,
BigPanda,Greenfield Growth,https://www.bigpanda.io/,"75,000,000",AWS,Azure,
Coralogix,Greenfield Growth,https://coralogix.com/,"75,000,000",AWS,Azure,GCP
Silverfort,Greenfield Growth,http://silverfort.com,Unknown,AWS,Azure,
Torq,Greenfield Growth,https://torq.io,Unknown,AWS,GCP,Azure
Capitolis,Greenfield Growth,https://capitolis.com/,Unknown,AWS,,
Exodigo,Greenfield Growth,http://exodigo.com,"47,200,000",Unknown,,
Cynet,Greenfield Growth,http://cynet.com,Unknown,AWS,Azure,GCP
Eleos,Greenfield Growth,https://eleos.health/,Unknown,Unknown,,
Oligo,Greenfield Growth,https://www.oligo.security/,Unknown,AWS,,
GoodShip,Greenfield Growth,https://www.goodship.io/,Unknown,Unknown,,
Quali,Greenfield Growth,http://quali.com,Unknown,AWS,Azure,GCP
Panorays,Greenfield Growth,http://panorays.com,"32,800,000",GCP,,
Mixtiles,Greenfield Growth,http://mixtiles.com,"15,000,000",Unknown,,
floLIVE,Greenfield Growth,https://flolive.net,"70,800,000",AWS,,
Dustphotonics,Greenfield Growth,http://dustphotonics.com,"15,000,000",Unknown,,
Equitybee,Greenfield Growth,https://equitybee.com/,Unknown,Unknown,,
