Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
37.5,H.I.G. Growth Partners,https://www.thirtysevenfive.com/,Unknown,Unknown,,
Accounting Seed,H.I.G. Growth Partners,https://www.accountingseed.com/,Unknown,AWS,,
AdTheorent,H.I.G. Growth Partners,https://www.adtheorent.com/,"$170,000,000",AWS,,
AgileBlue,H.I.G. Growth Partners,https://agileblue.com/,"$10,000,000 - $50,000,000",AWS,Azure,GCP
American Vision Partners,H.I.G. Growth Partners,https://americanvisionpartners.com/,Unknown,Unknown,,
AVI-SPL,H.I.G. Growth Partners,https://avispl.com/,"$1,600,000,000",Azure,GCP,
Bluum,H.I.G. Growth Partners,https://www.bluum.com/,"$100,000,000 - $1,000,000,000",GCP,,
Bolt,H.I.G. Growth Partners,https://www.bolt.com/,"$27,000,000",AWS,,
Boostability,H.I.G. Growth Partners,https://www.boostability.com/,"$50,000,000 - $100,000,000",AWS,,
Carebox,H.I.G. Growth Partners,https://careboxhealth.com/,Unknown,Unknown,,
Carlton,H.I.G. Growth Partners,https://www.carltonone.com/,"$5,190,000",AWS,,
Classmates,H.I.G. Growth Partners,https://www.classmates.com/,"$7,500,000",,,
Cleo,H.I.G. Growth Partners,https://hicleo.com/,"$65,900,000",AWS,Azure,
Core Dermatology,H.I.G. Growth Partners,https://core-dermatology.com/,Unknown,Unknown,,
Corelight,H.I.G. Growth Partners,https://corelight.com/,"$50,000,000 - $100,000,000",AWS,Azure,GCP
Cuyana,H.I.G. Growth Partners,https://cuyana.com/,"$31,000,000",Azure,,
Digital Room,H.I.G. Growth Partners,https://www.digitalroom.com/,"$750,000,000",AWS,Azure,
ECI,H.I.G. Growth Partners,https://www.eci.com/,"$240,000,000",Azure,,
Eruptr,H.I.G. Growth Partners,https://eruptr.com/,Unknown,Unknown,,
Everlaw,H.I.G. Growth Partners,https://www.everlaw.com/,Unknown,AWS,,
GLD,H.I.G. Growth Partners,https://www.thegldshop.com/,"$12,000,000",Unknown,,
Intelius,H.I.G. Growth Partners,https://www.intelius.com/,"$19,000,000",Unknown,,
Invoca,H.I.G. Growth Partners,https://www.invoca.com/,"$100,000,000",GCP,,
JumpCloud,H.I.G. Growth Partners,https://jumpcloud.com/,"$105,000,000",AWS,GCP,
Just Home Healthcare Services,H.I.G. Growth Partners,http://jhcare.org/,Unknown,Unknown,,
LG lugar de gente,H.I.G. Growth Partners,https://www.lg.com.br/,Unknown,Unknown,,
Lulus,H.I.G. Growth Partners,https://www.lulus.com/,"$290,000,000",Unknown,,
"Milestone Technologies, Inc.",H.I.G. Growth Partners,https://milestone.tech/,"$283,800,000",AWS,Azure,
Mobile Health,H.I.G. Growth Partners,https://www.mobilehealthconsumer.com/,"$13,960,000",Azure,,
Mode,H.I.G. Growth Partners,https://mode.com/,Unknown,GCP,,
MoneySolver,H.I.G. Growth Partners,https://www.moneysolver.org/,Unknown,Unknown,,
MX,H.I.G. Growth Partners,https://www.mx.com/,Unknown,Unknown,,
myKaarma,H.I.G. Growth Partners,https://mykaarma.com/,"$15,000,000",AWS,GCP,
NZN,H.I.G. Growth Partners,https://nzn.io/,Unknown,Unknown,,
Parachute Home,H.I.G. Growth Partners,https://www.parachutehome.com/,"$150,000,000",Unknown,,
Passport,H.I.G. Growth Partners,https://www.passportinc.com/,Unknown,Azure,,
Pinnacle GI Partners,H.I.G. Growth Partners,https://pgip.com/,Unknown,Unknown,,
Progrexion,H.I.G. Growth Partners,https://www.progrexion.com/,"$388,000,000",Unknown,,
ProsperOps,H.I.G. Growth Partners,https://www.prosperops.com/,"$13,100,000",AWS,Azure,GCP
Pyramid Analytics,H.I.G. Growth Partners,https://www.pyramidanalytics.com/,"$50,000,000",AWS,,
Quisitive,H.I.G. Growth Partners,https://quisitive.com/,"$121,200,000",Azure,,
Riveron,H.I.G. Growth Partners,https://riveron.com/,"$170,000,000",Azure,,
Sage Hospice,H.I.G. Growth Partners,https://sagefoc.com/,Unknown,Unknown,,
Salary.com,H.I.G. Growth Partners,https://www.salary.com/,"$50,000,000 - $100,000,000",Unknown,,
ServiceTitan,H.I.G. Growth Partners,https://www.servicetitan.com/,"$771,880,000",Azure,,
Sitetracker,H.I.G. Growth Partners,https://www.sitetracker.com/,Unknown,Unknown,,
Sola,H.I.G. Growth Partners,https://solapayments.com/,Unknown,Unknown,,
Suzy,H.I.G. Growth Partners,https://suzy.com/,Unknown,Unknown,,
Symplicity,H.I.G. Growth Partners,https://www.symplicity.com/,Unknown,Unknown,,
Telescope,H.I.G. Growth Partners,https://telescope.tv/,Unknown,Unknown,,
Worksuite,H.I.G. Growth Partners,https://www.worksuite.com/,Unknown,Unknown,,
