Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
A-LIGN,Hg,https://www.a-lign.com,"$174,600,000",AWS,,
Access Group,Hg,https://www.theaccessgroup.com,"$835,655,000",Azure,AWS,
AMDT,Hg,https://amdt.com/en/myamdt,Unknown,,,
Ascendia Gruppe,Hg,https://www.ascendia-gruppe.de,Unknown,,,
Athletic Sport Sponsoring,Hg,https://www.ichbindeinauto.de,Unknown,,,
AuditBoard,Hg,https://www.auditboard.com,"$200,000,000",AWS,Azure,
Azets,Hg,https://www.azets.com,"$459,252,000",Azure,,
Benevity,Hg,https://www.benevity.com,"$188,500,000",AWS,Azure,GCP
Blinqx,Hg,https://blinqx.tech/en,Unknown,,,
FE fundinfo,Hg,Unknown,Unknown,,,
Gen II,Hg,https://gen2fund.com,Unknown,,,
Howden,Hg,https://www.howdengroupholdings.com,"$2,910,000,000",,,
Ideagen,Hg,https://www.ideagen.com,"$145,478,200",Azure,,
IFS,Hg,https://www.ifs.com,"$1,300,000,000",Azure,,
Litera,Hg,https://www.litera.com,"$750,000,000",AWS,,
Lyniate,Hg,https://lyniate.com,Unknown,,,
Meltwater,Hg,https://www.meltwater.com,"$439,000,000",AWS,,
Mitratech,Hg,https://mitratech.com,"$150,000,000",,,
Nordic Capital,Hg,https://www.nordiccapital.com,Unknown,,,
Norwegian Block Exchange,Hg,https://nbx.com/en,"$1,510,000",,,
P&I,Hg,https://www.pi-ag.com,Unknown,,,
Pirum,Hg,https://www.pirum.com,"$29,280,000",,,
Prophix,Hg,https://www.prophix.com,"$100,000,000",AWS,,
Raet,Hg,Unknown,Unknown,,,
Septeo,Hg,https://www.septeo.com/en,"$453,600,000",,,
Sovos,Hg,https://sovos.com,"$1,020,000,000",,,
TeamSystem,Hg,https://www.teamsystem.com/en,"$919,188,000",,,
Trackunit,Hg,https://trackunit.com,"$170,000,000",,,
Transporeon,Hg,https://www.transporeon.com/en_US,"$452,600,000",,,
Visma,Hg,https://www.visma.com,"$3,197,000,000",AWS,Azure,GCP
Waystone,Hg,https://www.waystone.com,"$2,650,000",,,
WorkWave,Hg,https://www.workwave.com,Unknown,,,
