Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
4over,HGGC,https://www.4over.com,53000000,Unknown,,
Aceable,HGGC,https://www.aceable.com,10000000,Unknown,,
AMI,HGGC,https://www.ami.com,Unknown,Unknown,,
Aspire Holdings,HGGC,https://aspireapp.com,Unknown,AWS,GCP,
AutoAlert,HGGC,https://www.autoalert.com,25000000,AWS,,
Beauty Industry Group,HGGC,https://www.beautyindustrygroup.com,300000000,Unknown,,
Better Being,HGGC,https://www.betterbeing.com,344000000,Unknown,,
Buildertrend,HGGC,https://buildertrend.com,182200000,Unknown,,
Citadel,HGGC,Unknown,Unknown,AWS,Azure,GCP
Davies Group,HGGC,https://davies-group.com,864400000,Unknown,,
Dealer-FX,HGGC,https://www.dealer-fx.com,37000000,Unknown,,
Denodo,HGGC,https://www.denodo.com,Unknown,AWS,Azure,GCP
Dentive,HGGC,https://www.dentive.com,Unknown,Azure,,
Dynata,HGGC,https://www.dynata.com,Unknown,Unknown,,
Entrata,HGGC,https://www.entrata.com,430000000,Unknown,,
Equity Methods,HGGC,https://www.equitymethods.com,Unknown,Unknown,,
Fortra,HGGC,https://www.fortra.com,800000000,AWS,Azure,GCP
FPX,HGGC,https://www.hggc.com/portfolio/fpx,Unknown,Unknown,,
Fullscript,HGGC,https://fullscript.com,Approaching $1B,Unknown,,
Grand Fitness Partners,HGGC,https://www.hggc.com/portfolio/grand-fitness-partners,Unknown,Unknown,,
Hollander,HGGC,https://www.hollandersolutions.com,Unknown,Unknown,,
hybris,HGGC,https://hybris-inc.com/,Unknown,Unknown,,
Idera,HGGC,https://www.idera.com,Unknown,AWS,Azure,GCP
Innovative,HGGC,https://www.innovativeinc.net,Unknown,AWS,,
Integrity Marketing Group,HGGC,https://www.hggc.com/portfolio/integrity,1000000000,Unknown,,
iQor,HGGC,https://www.iqor.com,Unknown,Unknown,,
MaMa Rosa's,HGGC,https://www.mamarosapasta.com,3500000,Unknown,,
Marmic,HGGC,https://marmicfire.com,15000000,Unknown,,
Mi9,HGGC,https://mi9retail.com,Unknown,GCP,,
Monotype,HGGC,https://www.monotype.com,Unknown,Unknown,,
MyWebGrocer,HGGC,https://www.mywebgrocer.com,Unknown,Unknown,,
Pearl,HGGC,https://pearlfinancial.com/,Unknown,Unknown,,
Power Holdings,HGGC,https://power-holdings-inc.com,Unknown,Unknown,,
Rimkus,HGGC,https://rimkus.com,Unknown,Unknown,,
RPX,HGGC,https://www.rpxcorp.com,Unknown,Unknown,,
Selligent,HGGC,https://meetmarigold.com/solutions/messaging/selligent,Unknown,Unknown,,
Serena Software,HGGC,https://www.cybersecurityintelligence.com/serena-1727.html,219000000 (2012),Unknown,,
Specialist Risk Group,HGGC,https://specialistrisk.com,Unknown,Unknown,,
Stova,HGGC,https://stova.io,Unknown,Unknown,,
Sunquest,HGGC,https://gosunquestsolar.com,Unknown,Unknown,,
Trucordia,HGGC,https://www.trucordia.com,Unknown,Unknown,,
Turner,HGGC,https://www.turnerconstruction.com,Unknown,Unknown,,
Upland Software,HGGC,Unknown,Unknown,Unknown,,
