Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
CoreLogic,Insight Partners,https://www.corelogic.com/,1800000000,GCP,AWS,
Optimizely,Insight Partners,https://www.optimizely.com/,400000000,Azure,GCP,AWS
NMI,Insight Partners,https://www.nmi.com/,650970000,AWS,GCP,Azure
DistroKid,Insight Partners,https://distrokid.com/,15000000,AWS,GCP,
iad,Insight Partners,https://www.iadgroup.com/us/,567000000,OVHcloud,,
ELLKAY,Insight Partners,https://www.ellkay.com/,100000000,Unknown,,
Inovalon,Insight Partners,https://www.inovalon.com/,740000000,Unknown,,
Community Brands,Insight Partners,https://www.communitybrands.com/,230400000,AWS,,
Vector Solutions,Insight Partners,https://www.vectorsolutions.com/,183800000,Unknown,,
PDI Technologies,Insight Partners,https://pditechnologies.com/,425400000,AWS,,
Espressive,Insight Partners,https://www.espressive.com/,34500000,AWS,,
Optain,Insight Partners,https://www.optainhealth.com/,,Unknown,,
Runware,Insight Partners,https://runware.ai/,,Unknown,,
Databricks,Insight Partners,https://www.databricks.com/,4000000000,AWS,Azure,GCP
Shift5,Insight Partners,https://shift5.io/,,AWS,,
Anthropic,Insight Partners,https://www.anthropic.com/,5000000000,GCP,AWS,
Instalily,Insight Partners,https://instalily.ai/,,GCP,,
Whop,Insight Partners,https://whop.com/,22600000,AWS,,
CompanyCam,Insight Partners,https://companycam.com/,35000000,AWS,,
Recharge.com,Insight Partners,https://www.recharge.com/,100000000,GCP,AWS,
