Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider_1,Cloud_Provider_2,Cloud_Provider_3
Plus Simple,KKR,https://www.plussimple.fr,Unknown,Unknown,Unknown,Unknown
1-800 Contacts,KKR,https://www.1800contacts.com,Unknown,AWS,,Unknown
123Dentist,KKR,https://www.123dentist.com/,"$50,000,000",Azure,Unknown,Unknown
A-Gas,KKR,https://www.agas.com,Unknown,Unknown,Unknown,Unknown
Academy Sports + Outdoors,KKR,https://www.academy.com/,"$6,400,000,000",Oracle Cloud,Unknown,Unknown
Accell Group,KKR,https://www.accell-group.com/en,"$1,400,000,000",OneStream,Unknown,Unknown
Acciona Energía,KKR,https://www.acciona-energia.com/,"$3,260,000,000",AWS,Unknown,Unknown
Accuris,KKR,https://accuristech.com,"$500,000,000",Unknown,Unknown,Unknown
Adopt A Cow,KKR,Unknown,"$17,962,000",Unknown,Unknown,Unknown
Advanta Seeds,KKR,https://www.advantaseeds.com,"$426,960,000",Unknown,Unknown,Unknown
Agendia,KKR,https://agendia.com/,"$43,900,000",Unknown,Unknown,Unknown
Air IT,KKR,https://www.airit.co.uk/,"$60,725,000",Azure,Unknown,Unknown
Aleph Group,KKR,https://www.alephholding.com/,"$1,000,000,000",Unknown,Unknown,Unknown
Alliance Boots,KKR,https://www.alliance-healthcare.com/,"$147,700,000,000",Azure,Unknown,Unknown
Alludo,KKR,https://www.alludo.com,$100M - $1B,AWS,Unknown,Unknown
Alvogen,KKR,https://www.alvogen.com,"$1,100,000,000",Unknown,Unknown,Unknown
Amagi,KKR,https://www.amagi.com/,"$113,040,000",GCP,AWS,Unknown
America's Best Contacts & Eyeglasses,KKR,https://www.americasbest.com/,"$1,823,300,000",AWS,Unknown,Unknown
Anchorage Digital,KKR,https://www.anchorage.com,Unknown,GCP,AWS,Azure
Apple Leisure Group,KKR,https://www.appleleisuregroup.com,"$3,000,000,000",Unknown,Unknown,Unknown
Aricent,KKR,http://www.aricent.com,"$3,100,000,000",Azure,Unknown,Unknown
Arnott's Group,KKR,https://www.arnotts.com/,"$1,654,600,000",SAP,Unknown,Unknown
Arta Finance,KKR,https://artafinance.com/,Unknown,GCP,DigitalOcean,Unknown
Ascom,KKR,https://www.ascom.com/,"$315,370,000",Azure,Unknown,Unknown
Atlantic Aviation,KKR,https://www.atlanticaviation.com,"$769,700,000",Unknown,Unknown,Unknown
Audiotonix,KKR,https://audiotonix.com/,"$1,100,000,000",Unknown,Unknown,Unknown
Australian Venue Co.,KKR,https://www.ausvenueco.com.au/,"$1,100,000,000",Unknown,Unknown,Unknown
Avant (company),KKR,https://www.avant.com/,"$316,700,000",Unknown,Unknown,Unknown
Avantus,KKR,https://avantus.com,"$298,000,000",Unknown,Unknown,Unknown
Axel Springer SE,KKR,https://www.axelspringer.com/en/,"$4,290,000,000",Azure,AWS,Unknown
Barracuda Networks,KKR,https://www.barracuda.com,"$500,000,000",AWS,Azure,GCP
BMC Software,KKR,https://www.bmc.com,"$2,300,000,000",AWS,GCP,Unknown
Boasso Global,KKR,https://www.boassoglobal.com,$100M - $1B,Unknown,Unknown,Unknown
Box,KKR,https://www.box.com,"$1,100,000,000",AWS,Unknown,Unknown
Boyd Gaming,KKR,https://www.boydgaming.com,"$3,930,000,000",Oracle Cloud,Unknown,Unknown
Bristol Myers Squibb,KKR,https://www.bms.com,"$48,300,000,000",AWS,Unknown,Unknown
Calabrio,KKR,https://www.calabrio.com/,"$200,000,000",AWS,Unknown,Unknown
Charter Next Generation,KKR,https://cnginc.com/,"$1,000,000,000",Unknown,Unknown,Unknown
Cloudera,KKR,https://www.cloudera.com/,"$1,000,000,000",AWS,GCP,Azure
CordenPharma,KKR,https://cordenpharma.com/,"$979,000,000",Unknown,Unknown,Unknown
Corel,KKR,https://www.coreldraw.com,"$298,000,000",Unknown,Unknown,Unknown
Coty Inc.,KKR,https://www.coty.com,"$5,890,000,000",Azure,Salesforce,Unknown
Covis Pharma,KKR,https://covispharma.com/,"$429,000,000",Unknown,Unknown,Unknown
Crosby Group,KKR,https://www.thecrosbygroup.com,"$1,100,000,000",Unknown,Unknown,Unknown
Cue Health,KKR,Unknown,"$70,940,000",Google Cloud,Unknown,Unknown
Current Health,KKR,Unknown,"$10,100,000",AWS,Salesforce,Unknown
Darktrace,KKR,Unknown,"$616,470,000",Google Cloud,AWS,Unknown
Dave & Buster's,KKR,Unknown,"$2,110,000,000",Azure,Unknown,Unknown
Dawnfresh Seafoods,KKR,Unknown,"$25,500,000",MHost & Cloud,Unknown,Unknown
