Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
FourPoint Resources,Kayne Anderson Capital Advisors,https://fourpointenergy.com,"$331,434,000",Unknown,,
HRM Resources IV,Kayne Anderson Capital Advisors,https://www.hrmres.com,Unknown,Unknown,,
Kraken Resources Group,Kayne Anderson Capital Advisors,https://krakenoil.com,Unknown,Unknown,,
Land Run Minerals,Kayne Anderson Capital Advisors,https://www.landrunminerals.llc,Unknown,Unknown,,
Riverbend Energy Group,Kayne Anderson Capital Advisors,https://www.riverbendenergygroup.com,Unknown,Unknown,,
Sabinal Energy,Kayne Anderson Capital Advisors,https://sabinalenergy.com,"$3,800,000",Unknown,,
South Wind Exploration LLC,Kayne Anderson Capital Advisors,https://southwindexploration.com,Unknown,Unknown,,
Terra Energy Partners,Kayne Anderson Capital Advisors,https://terraep.com,Unknown,AWS,,
WildFire Energy,Kayne Anderson Capital Advisors,https://www.wildfire-energy.com,Unknown,Unknown,,
SG Credit Partners,Kayne Anderson Capital Advisors,https://www.sgcreditpartners.com,Unknown,Unknown,,
