Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
1-800 Contacts,Leonard Green & Partners,1800contacts.com,"247,000,000",AWS,Unknown,Unknown
Advantage Solutions,Leonard Green & Partners,advantagesolutions.net,"3,570,000,000",Unknown,Unknown,Unknown
AerSale Holdings,Leonard Green & Partners,aersale.com,"345,070,000",Unknown,Unknown,Unknown
The Aspen Group (TAG),Leonard Green & Partners,aspendental.com,"4,200,000,000",AWS,Azure,GCP
Authentic Brands Group (ABG),Leonard Green & Partners,authenticbrands.com,Unknown,Unknown,Unknown,Unknown
Caliber Collision Centers,Leonard Green & Partners,calibercollision.com,"7,850,000,000",Azure,GCP,Snowflake
Charter Next Generation,Leonard Green & Partners,cnginc.com,"1,250,000,000",Unknown,Unknown,Unknown
CHG Healthcare Services,Leonard Green & Partners,chghealthcare.com,"1,000,000,000",Unknown,Unknown,Unknown
Clarivate,Leonard Green & Partners,clarivate.com,"2,560,000,000",AWS,Unknown,Unknown
Convergint,Leonard Green & Partners,convergint.com,"2,000,000,000",AWS,Azure,Unknown
Crunch,Leonard Green & Partners,crunch.com,"1,700,000,000",Unknown,Unknown,Unknown
DuraServ,Leonard Green & Partners,duraservcorp.com,"125,000,000",Unknown,Unknown,Unknown
ECI,Leonard Green & Partners,ecisolutions.com,"600,000,000",AWS,Azure,Unknown
Epiphany Dermatology,Leonard Green & Partners,epiphanydermatology.com,Unknown,Unknown,Unknown,Unknown
ExamWorks,Leonard Green & Partners,examworks.com,Unknown,Unknown,Unknown,Unknown
FineLine Technologies,Leonard Green & Partners,finelinetech.com,"34,800,000",Unknown,Unknown,Unknown
Fullscript,Leonard Green & Partners,fullscript.com,"1,000,000,000",Unknown,Unknown,Unknown
GeoStabilization International (GSI),Leonard Green & Partners,geostabilization.com,Unknown,Unknown,Unknown,Unknown
HUB,Leonard Green & Partners,hubinternational.com,"4,260,000,000",Azure,Unknown,Unknown
IMA,Leonard Green & Partners,ima.it/en,"1,745,450,000",Unknown,Unknown,Unknown
Insight Global,Leonard Green & Partners,insightglobal.com,"4,100,000,000",AWS,GCP,Unknown
Jetro Cash & Carry,Leonard Green & Partners,jetro.com,"3,198,051,715",Unknown,Unknown,Unknown
JOANN Fabric & Craft Stores,Leonard Green & Partners,joann.com,"2,220,000,000",Azure,Unknown,Unknown
Lakeshore,Leonard Green & Partners,lakeshorelearning.com,"501,000,000",Unknown,Unknown,Unknown
Life Time,Leonard Green & Partners,lifetime.life,"2,620,000,000",Azure,Unknown,Unknown
Mariner Wealth Advisors,Leonard Green & Partners,marinerwealthadvisors.com,"505,800,000",Unknown,Unknown,Unknown
MedVet,Leonard Green & Partners,medvet.com,"354,736,000",Unknown,Unknown,Unknown
Milan Laser Hair Removal,Leonard Green & Partners,milanlaser.com,"750,000,000",Unknown,Unknown,Unknown
Mindpath Health,Leonard Green & Partners,mindpath.com,Unknown,Azure,Unknown,Unknown
Mister Car Wash,Leonard Green & Partners,mistercarwash.com,"994,730,000",Unknown,Unknown,Unknown
North American Partners in Anesthesia (NAPA),Leonard Green & Partners,napaanesthesia.com,"1,200,000,000",Unknown,Unknown,Unknown
OMNIA Partners,Leonard Green & Partners,omniapartners.com,Unknown,AWS,Azure,GCP
Pace Analytical Services,Leonard Green & Partners,pacelabs.com,"398,300,000",Unknown,Unknown,Unknown
Parts Town,Leonard Green & Partners,partstown.com,"2,500,000,000",AWS,Azure,GCP
Patient Funding Alternatives,Leonard Green & Partners,insidepfa.com,Unknown,Unknown,Unknown,Unknown
PDC Brands,Leonard Green & Partners,pdcwellness.com,"674,000,000",AWS,Azure,Unknown
PlayCore,Leonard Green & Partners,playcore.com,"75,000,000",Unknown,Unknown,Unknown
Press Ganey,Leonard Green & Partners,pressganey.com,"457,000,000",AWS,Azure,GCP
