Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
NOBA Bank Group,Nordic Capital,https://www.noba.bank/,938980000,Azure,,
Autocirc,Nordic Capital,https://www.autocirc.com/,183260000,Azure,,
Macrobond,Nordic Capital,https://www.macrobond.com/,58000000,Unknown,,
Sunrise Medical,Nordic Capital,https://www.sunrisemedical-group.com/,750600000,Azure,,
ArisGlobal,Nordic Capital,https://www.arisglobal.com/,172800000,AWS,,
Max Matthiessen,Nordic Capital,https://www.maxm.se/,142500000,Unknown,,
The Binding Site,Nordic Capital,https://www.thermofisher.com/bindingsite/,220000000,AWS,,
iLOQ,Nordic Capital,https://www.iloq.com/,152390000,AWS,,
Cary Group,Nordic Capital,https://carygroup.com/,203400000,Unknown,,
Itiviti,Nordic Capital,https://www.broadridge.com/,226800000,AWS,,
Cint,Nordic Capital,https://www.cint.com/,438960000,AWS,,
Nordnet,Nordic Capital,https://nordnetab.com/,480000000,GCP,,
Ascot Lloyd,Nordic Capital,Unknown,Unknown,Unknown,,
Bilthouse,Nordic Capital,Unknown,Unknown,Unknown,,
Hargreaves Lansdown,Nordic Capital,Unknown,Unknown,Unknown,,
Helmsauer Group,Nordic Capital,Unknown,Unknown,Unknown,,
Qred,Nordic Capital,Unknown,Unknown,Unknown,,
RiskPoint,Nordic Capital,Unknown,Unknown,Unknown,,
Sambla Group,Nordic Capital,Unknown,Unknown,Unknown,,
Arcadia,Nordic Capital,Unknown,Unknown,Unknown,,
Minerva Imaging,Nordic Capital,Unknown,Unknown,Unknown,,
