Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
2ndWave Software,PSG Equity,https://2ndwavesoftware.com/,Unknown,Unknown,,
AbacusNext,PSG Equity,https://abacusnext.com/,"75,000,000",AWS,,
Addigy,PSG Equity,https://addigy.com/,"12,300,000",AWS,GCP,
Adeptia,PSG Equity,https://www.adeptia.com/,"18,100,000",Unknown,,
AirWorks,PSG Equity,https://airworks.io/,Unknown,Unknown,,
Anju Software,PSG Equity,https://www.anjusoftware.com/,"1,250,000",Unknown,,
Apaleo,PSG Equity,https://apaleo.com/,"15,300,000",Unknown,,
Arcoro,PSG Equity,https://arcoro.com/,"30,000,000",Unknown,,
Artur'In,PSG Equity,https://www.arturin.com/,"3,800,000",Unknown,,
Backlight,PSG Equity,https://www.backlight.co/,"125,000,000",AWS,,
Benchmark Analytics,PSG Equity,https://www.benchmarkanalytics.com/,Unknown,AWS,,
BiltOn (FKA Beti),PSG Equity,https://www.bilton.tech/,Unknown,Unknown,,
Bitwarden,PSG Equity,https://bitwarden.com/,Unknown,Azure,,
Burning Glass Technologies,PSG Equity,https://lightcast.io/,"7,922,188",Unknown,,
Button,PSG Equity,https://www.button.is/,"15,300,000",GCP,,
Buxton,PSG Equity,https://www.buxtonco.com/,"35,000,000",Unknown,,
Catalis (FKA Government Brands),PSG Equity,https://catalisgov.com/,"3,000,000",Azure,,
CENTRL,PSG Equity,https://www.centrl.ai/,Unknown,Unknown,,
Chatmeter,PSG Equity,https://www.chatmeter.com/,"35,000,000",Unknown,,
Checkmk,PSG Equity,https://checkmk.com/,"30,300,000",GCP,,
Clearer.io (FKA AppHub),PSG Equity,https://www.clearer.io/,"35,000,000",AWS,Azure,GCP
Code Climate,PSG Equity,https://codeclimate.com/,Unknown,AWS,,
CommBox,PSG Equity,https://www.commbox.io/,Unknown,Unknown,,
Conversica,PSG Equity,https://www.conversica.com/,"75,000,000",Unknown,,
"Copysmith AI, Inc.",PSG Equity,https://copysmith.ai/,Unknown,Azure,,
Corilus,PSG Equity,https://www.corilus.be/en/,"59,400,000",Azure,,
CTERA,PSG Equity,https://www.ctera.com/,"30,000,000",AWS,Azure,
Cyncly,PSG Equity,https://www.cyncly.com/,Unknown,Unknown,,
Dental Intelligence,PSG Equity,https://www.dentalintel.com/,"28,400,000",Unknown,,
Diapason,PSG Equity,https://www.thediapason.com/,"15,600,000",Unknown,,
DigitalEd,PSG Equity,https://www.digitaled.com/,Unknown,Unknown,,
DivvyCloud,PSG Equity,https://www.rapid7.com/products/insightcloudsec/,"6,400,000",AWS,Azure,GCP
DoseSpot,PSG Equity,https://dosespot.com/,Unknown,Unknown,,
Element451,PSG Equity,https://element451.com/,"11,900,000",Unknown,,
Emotion Mobility,PSG Equity,http://www.movewithemotion.com/,Unknown,Unknown,,
ENSO,PSG Equity,https://www.climate.gov/enso,Unknown,AWS,Azure,GCP
Ensora Health (FKA Therapy Brands),PSG Equity,https://ensorahealth.com/,Unknown,Unknown,,
EverCommerce,PSG Equity,https://www.evercommerce.com/,"698,770,000",Unknown,,
FluentStream Technologies,PSG Equity,https://www.fluentstream.com/,"10,000,000",Unknown,,
Frisbii (FKA billwerk+),PSG Equity,https://frisbii.com/,Unknown,Unknown,,
Glasswall,PSG Equity,https://www.glasswall.com/,Unknown,AWS,,
HealthTrio,PSG Equity,https://healthtrio.com/,"10,000,000",AWS,Azure,GCP
HeroDevs,PSG Equity,https://www.herodevs.com/,"10,000,000",Azure,,
Hornetsecurity,PSG Equity,https://www.hornetsecurity.com/,"160,000,000",Azure,,
Hostaway,PSG Equity,https://www.hostaway.com/,"75,000,000",AWS,Azure,GCP
Impact,PSG Equity,https://impact.com/,"200,000,000",AWS,Azure,GCP
INE,PSG Equity,https://ine.com/,"175,000,000",AWS,Azure,GCP
Inhabit IQ (FKA Property Brands),PSG Equity,https://inhabit.com/,"1,040,000,000",AWS,GCP,Azure
Inktavo (FKA InkSoft and Printavo),PSG Equity,https://www.inktavo.com/,Unknown,Unknown,,
Intellistack (FKA Formstack),PSG Equity,https://www.intellistack.com/,Unknown,Unknown,,
Introhive,PSG Equity,https://www.introhive.com/,Unknown,Unknown,,
IRONSCALES,PSG Equity,https://ironscales.com/,"15,000,000",Azure,,
JAMS,PSG Equity,https://www.jamsadr.com/,"200,000,000",Azure,,
Jobcase,PSG Equity,https://www.jobcase.com/,"75,000,000",Unknown,,
Kenect,PSG Equity,https://www.kenect.com/,Unknown,Unknown,,
LegitScript,PSG Equity,https://www.legitscript.com/,"62,500,000",Unknown,,
Libraesva,PSG Equity,https://www.libraesva.com/,Unknown,Azure,,
Lightkeeper,PSG Equity,https://lightkeeper.com/,Unknown,Unknown,,
LivTech,PSG Equity,https://livtech.com/,Unknown,Unknown,,
LogicGate,PSG Equity,https://www.logicgate.com/,"15,000,000",Unknown,,
LogicMonitor,PSG Equity,https://www.logicmonitor.com/,"300,000,000",AWS,Azure,GCP
Loopback,PSG Equity,https://loopback.io/,Unknown,Unknown,,
Lusha,PSG Equity,https://www.lusha.com/,"64,400,000",Unknown,,
MAPAL Group,PSG Equity,https://mapal.com/,"18,240,000",Unknown,,
Meal Ticket,PSG Equity,https://www.mealticket.com/,"9,800,000",Unknown,,
MentorcliQ,PSG Equity,https://www.mentorcliq.com/,"15,000,000",Unknown,,
Mezmo (FKA LogDNA),PSG Equity,https://www.mezmo.com/,"30,000,000",Unknown,,
MindBridge,PSG Equity,https://www.mindbridge.ai/,"20,000,000",Azure,,
Ministry Brands,PSG Equity,https://www.ministrybrands.com/,"6,500,000,000",Unknown,,
MixMode,PSG Equity,https://mixmode.ai/,"15,000,000",Unknown,,
mPulse Mobile,PSG Equity,https://mpulse.com/,Unknown,Unknown,,
N2F,PSG Equity,https://www.n2f.com/,Unknown,Unknown,,
Nalanda Global,PSG Equity,https://www.nalandaglobal.com/,"1,640,000",Unknown,,
Netsurion,PSG Equity,https://www.netsurion.com/,"22,300,000",AWS,Azure,GCP
Next Glass,PSG Equity,https://www.nextglass.co/,"15,000,000",Unknown,,
Nextlane (FKA Imaweb),PSG Equity,https://www.nextlane.com/,"110,000,000",Unknown,,
NoFraud,PSG Equity,https://www.nofraud.com/,Unknown,Unknown,,
Nomentia,PSG Equity,https://www.nomentia.com/,Unknown,Azure,,
NXTsoft,PSG Equity,https://www.nxtsoft.com/,Unknown,Unknown,,
Nym,PSG Equity,https://nym.com/,"15,000,000",Unknown,,
