Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
A Place for Mom,Silver Lake,https://www.aplaceformom.com,Unknown,,,
Achievers,Silver Lake,https://www.achievers.com/,750000000,,,
Airtable,Silver Lake,https://www.airtable.com/,478000000,AWS,,
Alchemy,Silver Lake,https://www.alchemy.com/,711000000,AWS,Azure,GCP
Aras,Silver Lake,https://www.aras.com/,100000000,Azure,AWS,
Australian Professional Leagues,Silver Lake,Unknown,Unknown,,,
Avaya,Silver Lake,https://www.avaya.com/,2760000000,Azure,,
BlackLine,Silver Lake,https://www.blackline.com/,650000000,GCP,AWS,Azure
Broadcom,Silver Lake,Unknown,Unknown,,,
Byju’s,Silver Lake,https://byjus.com/,1200000000,AWS,,
Caris Life Sciences,Silver Lake,https://www.carislifesciences.com/,412260000,AWS,,
Carta,Silver Lake,https://carta.com/,175700000,AWS,,
Cegid,Silver Lake,https://www.cegid.com/global/,814000000,,,
Celonis,Silver Lake,https://www.celonis.com/,771000000,AWS,Azure,GCP
City Football Group,Silver Lake,Unknown,Unknown,,,
Clari,Silver Lake,https://www.clari.com/,Unknown,AWS,,
Clubessential Holdings,Silver Lake,https://www.clubessentialholdings.com/,255000000,,,
Cornerstone,Silver Lake,https://www.cornerstoneondemand.com/,830000000,AWS,GCP,Azure
Credit Karma,Silver Lake,Unknown,Unknown,,,
Crystal Decisions / Business Objects,Silver Lake,https://www.sap.com/products/data-cloud/crystal-bi.html,800000000,Azure,,
Dell Technologies,Silver Lake,Unknown,Unknown,,,
Diamond Baseball Holdings,Silver Lake,Unknown,Unknown,,,
eConnections,Silver Lake,https://oeconnection.com/,750000000,,,
Eka,Silver Lake,https://www.eka-global.com/,Unknown,,,
"Endeavor Group Holdings, Inc.",Silver Lake,Unknown,Unknown,,,
Entrata,Silver Lake,Unknown,Unknown,,,
Equinox Group,Silver Lake,https://www.equinox.com/,5000000000,AWS,Azure,GCP
EverCommerce,Silver Lake,https://www.evercommerce.com/,698765000,AWS,,
Exact,Silver Lake,https://www.exact.com/,Unknown,,,
"Fanatics, Inc.",Silver Lake,Unknown,Unknown,,,
FATHOM,Silver Lake,https://fathom.org/,335180000,AWS,Azure,GCP
First Advantage,Silver Lake,Unknown,Unknown,,,
G42,Silver Lake,Unknown,Unknown,,,
Global Blue,Silver Lake,Unknown,Unknown,,,
GoodRx,Silver Lake,https://www.goodrx.com/,790000000,AWS,GCP,Azure
Imagine Learning,Silver Lake,https://www.imaginelearning.com/,750000000,,,
Integrity Marketing Group,Silver Lake,https://integrity.com/,1700000000,,,
IonQ,Silver Lake,Unknown,Unknown,,,
Iterable,Silver Lake,https://iterable.com/,200000000,GCP,,
IVC Evidensia,Silver Lake,https://ivcevidensia.com/,3400000000,AWS,,
Jio Platforms,Silver Lake,Unknown,Unknown,,,
Klarna,Silver Lake,Unknown,Unknown,,,
LEARFIELD,Silver Lake,Unknown,Unknown,,,
Madison Square Garden Sports,Silver Lake,Unknown,Unknown,,,
Mercury Healthcare,Silver Lake,https://www.mercuryhealthcare.org/,200000000,,,
Mirakl,Silver Lake,https://www.mirakl.com/,177000000,AWS,GCP,
Motorola Solutions,Silver Lake,Unknown,Unknown,,,
MultiPlan,Silver Lake,Unknown,Unknown,,,
N-Able,Silver Lake,Unknown,Unknown,,,
New Zealand Rugby,Silver Lake,Unknown,Unknown,,,
Outspoken,Silver Lake,https://www.outspokensite.com/,Unknown,,,
Peloton,Silver Lake,https://www.onepeloton.com/,2490000000,AWS,,
Qualtrics,Silver Lake,https://www.qualtrics.com/,1450000000,AWS,,
Quorum Software,Silver Lake,https://www.quorum.us/,40000000,AWS,,
Relativity,Silver Lake,https://www.relativityspace.com/,Unknown,Azure,,
SenseTime,Silver Lake,https://www.sauber-group.com/partners/default-title-10,510000000,,,
ServiceMax,Silver Lake,https://www.servicemax.com/,135000000,,,
Silae,Silver Lake,https://silae.io/,Unknown,,,
Software AG,Silver Lake,https://www.softwareag.com/en_corporate.html,1060000000,AWS,Azure,GCP
SolarWinds,Silver Lake,Unknown,Unknown,,,
Splunk,Silver Lake,https://www.splunk.com/,4220000000,AWS,GCP,Azure
Stripe,Silver Lake,Unknown,Unknown,,,
SunGard,Silver Lake,https://www.sunguarduv.com/,587300000,,,
Talend,Silver Lake,https://www.talend.com/,287470000,AWS,GCP,
TeamSystem,Silver Lake,https://www.teamsystem.com/en/,1000000000,,,
UiPath,Silver Lake,https://www.uipath.com/,1430000000,AWS,Azure,GCP
Unity,Silver Lake,Unknown,Unknown,,,
Vacasa,Silver Lake,Unknown,Unknown,,,
Verily,Silver Lake,Unknown,Unknown,,,
Waymo,Silver Lake,Unknown,Unknown,,,
WP Engine,Silver Lake,Unknown,Unknown,,,
Zuora,Silver Lake,https://www.zuora.com/,431660000,,,
