Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
a.k.a. Brands,Summit Partners,https://www.aka-brands.com/,Unknown,Unknown,,
A Cloud Guru,Summit Partners,https://acloudguru.com/,Unknown,Unknown,,
Abode Healthcare,Summit Partners,https://abodehealthcare.com/,Unknown,Unknown,,
Akeneo,Summit Partners,https://www.akeneo.com/,Unknown,Unknown,,
Appway,Summit Partners,https://www.appway.com/,Unknown,Unknown,,
Beyond Risk,Summit Partners,https://www.gobeyondrisk.com/,Unknown,Unknown,,
Blended Health,Summit Partners,https://www.blendedhealth.com/,Unknown,Unknown,,
Brooklinen,Summit Partners,https://www.brooklinen.com/,Unknown,Unknown,,
Celcoin,Summit Partners,https://www.celcoin.com.br/,"63,000,000",Unknown,,
Cenosco,Summit Partners,https://cenosco.com/,"23,300,000",Azure,AWS,
CERTANIA,Summit Partners,https://certania.com/,Unknown,Unknown,,
Chronograph,Summit Partners,https://www.chronograph.pe/,"15,000,000",GCP,,
Cinerius Financial Partners,Summit Partners,https://cinerius.com/,Unknown,Unknown,,
CluePoints,Summit Partners,https://cluepoints.com/,Unknown,Unknown,,
CoderPad,Summit Partners,https://www.coderpad.io/,Unknown,Unknown,,
CollisionRight,Summit Partners,https://collisionright.com/,"750,000,000",Unknown,,
Doctrine,Summit Partners,https://www.doctrine.fr/,Unknown,Unknown,,
DocuSketch,Summit Partners,https://docusketch.com/,"15,000,000",Unknown,,
Dr. Squatch,Summit Partners,https://drsquatch.com/,Unknown,Unknown,,
Dreampath Diagnostics,Summit Partners,https://www.dreampathdx.net/,Unknown,AWS,,
Earned Wealth,Summit Partners,https://www.earned.com/,Unknown,Unknown,,
eClinical Solutions,Summit Partners,https://www.eclinicalsol.com/,Unknown,Unknown,,
Elatec,Summit Partners,https://www.elatec-rfid.com/,Unknown,Unknown,,
Energy Aspects,Summit Partners,https://www.energyaspects.com/,Unknown,Unknown,,
FNZ,Summit Partners,https://www.fnz.com/,"1,400,000,000",Azure,AWS,
Formative,Summit Partners,https://www.formative.com/,"16,900,000",GCP,,
Fortis Life Sciences,Summit Partners,https://www.fortislife.com/,Unknown,Unknown,,
Foxen,Summit Partners,https://www.foxen.com/,Unknown,Unknown,,
Fracture,Summit Partners,https://fractureme.com/,Unknown,Unknown,,
Fundraise Up,Summit Partners,https://fundraiseup.com/,"30,000,000",Unknown,,
Furnished Finder,Summit Partners,https://www.furnishedfinder.com/,"18,300,000",Unknown,,
GRESB,Summit Partners,https://gresb.com/,Unknown,Unknown,,
Hairstory,Summit Partners,https://www.hairstory.com/,Unknown,Unknown,,
Halborn,Summit Partners,https://www.halborn.com/,"30,000,000",Unknown,,
Hallmark Health Care Solutions,Summit Partners,https://hallmarkhcs.com/,Unknown,Azure,,
Highwire,Summit Partners,https://www.highwire.com/,"8,490,000",Unknown,,
HyperLight,Summit Partners,https://hyperlightcorp.com/,Unknown,Unknown,,
Imagen,Summit Partners,https://imagen-ai.com/,"2,500,000",GCP,,
Immersive,Summit Partners,https://www.immersivelabs.com/,Unknown,Unknown,,
InnovaCare Health,Summit Partners,https://innovacarehealth.com/,Unknown,Unknown,,
Instrumentl,Summit Partners,https://www.instrumentl.com/,"3,800,000",Unknown,,
Insurcomm,Summit Partners,https://insurcomm.com/,Unknown,Unknown,,
Invicti Security,Summit Partners,https://www.invicti.com/,"64,000,000",Azure,AWS,
Jobber,Summit Partners,https://www.getjobber.com/,"150,000,000",AWS,Azure,
Keeper Security,Summit Partners,https://www.keepersecurity.com/,"97,800,000",AWS,,
Klaviyo,Summit Partners,https://www.klaviyo.com/,Unknown,Unknown,,
Later,Summit Partners,https://later.com/,"75,000,000",Unknown,,
LearnUpon,Summit Partners,https://www.learnupon.com/,"75,000,000",Unknown,,
Leon Medical Centers,Summit Partners,https://www.leonmedicalcenters.com/,Unknown,Unknown,,
Lingoda,Summit Partners,https://www.lingoda.com/en/,"99,800,000",Unknown,,
LumaBridge,Summit Partners,https://lumabridge.com/,Unknown,Unknown,,
Manychat,Summit Partners,https://manychat.com/,Unknown,AWS,Azure,
Markforged,Summit Partners,https://markforged.com/,Unknown,Unknown,,
MercuryGate,Summit Partners,https://mercurygate.com/,Unknown,Unknown,,
MUBI,Summit Partners,https://mubi.com/,"19,300,000",Unknown,,
Netgain,Summit Partners,https://www.netgain.tech/,Unknown,Azure,,
NinjaOne,Summit Partners,https://www.ninjaone.com/,Unknown,Unknown,,
Odoo,Summit Partners,https://www.odoo.com/,Unknown,Unknown,,
One Point Advisory Services,Summit Partners,https://onpointefirm.com/,Unknown,Unknown,,
OneStock SAS,Summit Partners,https://www.onestock-retail.com/en/,Unknown,GCP,,
OnRobot,Summit Partners,https://onrobot.com/,Unknown,Unknown,,
Optimove,Summit Partners,https://www.optimove.com/,"550,000,000",GCP,,
OTR Solutions,Summit Partners,https://otrsolutions.com/,Unknown,Unknown,,
Output,Summit Partners,https://output.com/,Unknown,Unknown,,
