Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Zipline,Techstars,flyzipline.com,,AWS,Azure,GCP
Chainalysis,Techstars,chainalysis.com,190000000,AWS,GCP,
Remitly,Techstars,remitly.com,1460000000,AWS,,
DataRobot,Techstars,datarobot.com,225000000,AWS,Azure,GCP
DigitalOcean,Techstars,digitalocean.com,832810000,Unknown,,
Outreach,Techstars,outreach.io,250000000,AWS,,
TradingView,Techstars,tradingview.com,,AWS,,
SalesLoft,Techstars,salesloft.com,750000000,AWS,GCP,
Trust & Will,Techstars,trustandwill.com,,Unknown,,
DNSFilter,Techstars,dnsfilter.com,,Unknown,,
