Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Abingworth,The Carlyle Group,https://www.abingworth.com,Unknown,Unknown,Unknown,Unknown
Acosta Sales & Marketing,The Carlyle Group,https://www.acosta.com,"$1,850,000,000",Unknown,Unknown,Unknown
Addison Lee,The Carlyle Group,Unknown,"$625,000,000",Unknown,Unknown,Unknown
AGV (helmet manufacturer),The Carlyle Group,Unknown,"$203,170,000",Unknown,Unknown,Unknown
Allison Transmission,The Carlyle Group,https://www.allisontransmission.com,"$3,230,000,000",AWS,GCP,Unknown
AMEOS group,The Carlyle Group,Unknown,"$1,400,000,000",Unknown,Unknown,Unknown
Ampere Computing,The Carlyle Group,https://amperecomputing.com,"$541,500,000 - $750,000,000",Azure,GCP,Unknown
Anthology Inc.,The Carlyle Group,Unknown,"$1,700,000,000",AWS,Unknown,Unknown
APG (pension fund),The Carlyle Group,https://www.apg.nl/,"$948,332,000",Unknown,Unknown,Unknown
ARINC,The Carlyle Group,https://www.arinc.com,"$1,300,000,000",AWS,Unknown,Unknown
AsiaSat,The Carlyle Group,https://www.asiasat.com,"$183,676,000",Unknown,Unknown,Unknown
Atotech,The Carlyle Group,https://www.atotech.com,"$1,500,000,000",Azure,Unknown,Unknown
Avio,The Carlyle Group,Unknown,"$320,000,000",Unknown,Unknown,Unknown
Axalta Coating Systems,The Carlyle Group,https://www.axalta.com,"$5,280,000,000",Unknown,Unknown,Unknown
AZ Electronic Materials,The Carlyle Group,https://www.azem.com,"$730,000,000",Unknown,Unknown,Unknown
Baker & Taylor,The Carlyle Group,Unknown,"$4,600,000,000",Unknown,Unknown,Unknown
B&B Hotels,The Carlyle Group,https://www.hotel-bb.com,"$1,300,000,000",Unknown,Unknown,Unknown
B&B Italia,The Carlyle Group,Unknown,"$221,540,000",Unknown,Unknown,Unknown
Beats Electronics,The Carlyle Group,https://www.beatsbydre.com,"$1,500,000,000",Unknown,Unknown,Unknown
Beautycounter,The Carlyle Group,Unknown,"$1,600,000,000",Unknown,Unknown,Unknown
"Blyth, Inc.",The Carlyle Group,Unknown,"$1,200,000,000",Unknown,Unknown,Unknown
Brintons,The Carlyle Group,Unknown,"$91,662,500",Unknown,Unknown,Unknown
CommScope,The Carlyle Group,https://www.commscope.com,"$4,750,000,000",Unknown,Unknown,Unknown
Dainese,The Carlyle Group,Unknown,"$750,000,000",Nutanix,Unknown,Unknown
Dealogic,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Dex Media,The Carlyle Group,Unknown,"$750,000 - $10,000,000",Unknown,Unknown,Unknown
Dr Pepper/Seven Up,The Carlyle Group,Unknown,"$11,000,000,000",Unknown,Unknown,Unknown
Dunkin' Brands,The Carlyle Group,Unknown,Unknown (Former Holding),Unknown,Unknown,Unknown
Educomp Solutions,The Carlyle Group,Unknown,"$4,966,800",Unknown,Unknown,Unknown
EG&G,The Carlyle Group,Unknown,"$2,700,000,000",Unknown,Unknown,Unknown
Le Figaro,The Carlyle Group,Unknown,Unknown,GCP,Unknown,Unknown
The Foundry Visionmongers,The Carlyle Group,Unknown,"$82,300,000",Unknown,Unknown,Unknown
Gemini Air Cargo,The Carlyle Group,Unknown,"$1,000,000 - $10,000,000",Unknown,Unknown,Unknown
Golden Goose,The Carlyle Group,https://www.goldengoose.com,"$707,000,000",Unknown,Unknown,Unknown
Graze (company),The Carlyle Group,https://www.graze.com/,"$2,587,500,000",Unknown,Unknown,Unknown
Hawaiian Telcom,The Carlyle Group,Unknown,"$368,000,000",Unknown,Unknown,Unknown
HD Supply,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Healthscope,The Carlyle Group,https://healthscope.com.au,"$1,550,000,000",Unknown,Unknown,Unknown
Hertz Global Holdings,The Carlyle Group,https://www.hertz.com,"$7,300,000,000",Oracle Cloud,Unknown,Unknown
Hexaware Technologies,The Carlyle Group,https://hexaware.com,"$1,430,000,000",AWS,GCP,Azure
Holland & Barrett,The Carlyle Group,Unknown,"$1,105,625,000",Okta,Unknown,Unknown
Howmet Aerospace,The Carlyle Group,Unknown,"$5,663,000,000",Unknown,Unknown,Unknown
Hunkemöller,The Carlyle Group,Unknown,"$106,000,000",Google Cloud,Unknown,Unknown
KFC in Japan,The Carlyle Group,Unknown,"$708,416,000",Unknown,Unknown,Unknown
Kroll Inc.,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Landmark Aviation,The Carlyle Group,Unknown,Unknown (Former Holding),Unknown,Unknown,Unknown
Legend Natural Gas,The Carlyle Group,http://www.lng2.com,"$1,630,000",Unknown,Unknown,Unknown
Loews Cineplex Entertainment,The Carlyle Group,Unknown,"$17,510,000,000",Unknown,Unknown,Unknown
ManTech International,The Carlyle Group,https://www.mantech.com,"$2,600,000,000",AWS,Azure,GCP
Medanta,The Carlyle Group,https://www.medanta.org,"$450,000,000",Unknown,Unknown,Unknown
Medical Park,The Carlyle Group,Unknown,"$1,343,040,000",Unknown,Unknown,Unknown
Memsource,The Carlyle Group,Unknown,"$4,860,000",Unknown,Unknown,Unknown
Metropolis Healthcare,The Carlyle Group,Unknown,"$155,780,000",Unknown,Unknown,Unknown
The Mill (company),The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Momo (company),The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Morningstar DBRS,The Carlyle Group,Unknown,"$167,000,000",Unknown,Unknown,Unknown
Mydentist,The Carlyle Group,Unknown,"$702,500,000",Unknown,Unknown,Unknown
NEP Group,The Carlyle Group,Unknown,"$750,000,000",Unknown,Unknown,Unknown
NetMotion Software,The Carlyle Group,Unknown,"$16,700,000",Unknown,Unknown,Unknown
NorthPoint Communications,The Carlyle Group,Unknown,"$79,900,000",Unknown,Unknown,Unknown
OFX (company),The Carlyle Group,Unknown,"$130,000,000",GCP,Unknown,Unknown
One Medical,The Carlyle Group,Unknown,Unknown (Former Holding),Unknown,Unknown,Unknown
Oriental Trading Company,The Carlyle Group,Unknown,"$750,000,000",Unknown,Unknown,Unknown
Ortho Clinical Diagnostics,The Carlyle Group,https://www.orthoclinicaldiagnostics.com,"$2,040,000,000",Unknown,Unknown,Unknown
PA Consulting Group,The Carlyle Group,https://www.paconsulting.com,">$1,000,000,000",GCP,Unknown,Unknown
Pace Airlines,The Carlyle Group,Unknown,Unknown,AWS,Unknown,Unknown
Palacios Alimentación,The Carlyle Group,Unknown,"$414,900,000",Unknown,Unknown,Unknown
PanAmSat,The Carlyle Group,https://www.intelsat.com/,Unknown,Unknown,Unknown,Unknown
Philosophy (brand),The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
