Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Abingworth,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Acosta Sales & Marketing,The Carlyle Group,https://www.acosta.com,"$1,850,000,000",Unknown,Unknown,Unknown
Addison Lee,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
AGV (helmet manufacturer),The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Allison Transmission,The Carlyle Group,https://www.allisontransmission.com,"$3,230,000,000",AWS,GCP,Unknown
AMEOS group,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Ampere Computing,The Carlyle Group,https://amperecomputing.com,"$541,500,000 - $750,000,000",Azure,GCP,Unknown
Anthology Inc.,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
APG (pension fund),The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
ARINC,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
AsiaSat,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Atotech,The Carlyle Group,https://www.atotech.com,"$1,500,000,000",Azure,Unknown,Unknown
Avio,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Axalta Coating Systems,The Carlyle Group,https://www.axalta.com,"$5,280,000,000",Unknown,Unknown,Unknown
AZ Electronic Materials,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Baker & Taylor,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
B&B Hotels,The Carlyle Group,https://www.hotel-bb.com,"$1,300,000,000",Unknown,Unknown,Unknown
B&B Italia,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Beats Electronics,The Carlyle Group,https://www.beatsbydre.com,"$1,500,000,000",Unknown,Unknown,Unknown
Beautycounter,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
"Blyth, Inc.",The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Brintons,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
CommScope,The Carlyle Group,https://www.commscope.com,"$4,750,000,000",Unknown,Unknown,Unknown
Dainese,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Dealogic,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Dex Media,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Dr Pepper/Seven Up,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Dunkin' Brands,The Carlyle Group,Unknown,Unknown (Former Holding),Unknown,Unknown,Unknown
Educomp Solutions,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
EG&G,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Le Figaro,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
The Foundry Visionmongers,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Gemini Air Cargo,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Golden Goose,The Carlyle Group,https://www.goldengoose.com,"$707,000,000",Unknown,Unknown,Unknown
Graze (company),The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
Hawaiian Telcom,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
HD Supply,The Carlyle Group,Unknown,Unknown,Unknown,Unknown,Unknown
