Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Agape Care,The Vistria Group,https://agapecaregroup.com,Unknown,Unknown,,
AIS Healthcare,The Vistria Group,https://aiscaregroup.com,Unknown,Unknown,,
Alacura,The Vistria Group,https://alacura.com,Unknown,Unknown,,
Alcami,The Vistria Group,https://alcaminow.com,"$750,000,000",Unknown,,
AnewHealth,The Vistria Group,https://anewhealthrx.com,"$41,320,000",Unknown,,
Angel Medflight,The Vistria Group,https://angelmedflight.com,Unknown,Unknown,,
Beacon Specialized Living,The Vistria Group,https://beaconspecialized.org,Unknown,Unknown,,
BHG Behavioral Health Group,The Vistria Group,https://bhgrecovery.com,Unknown,Unknown,,
BioCare,The Vistria Group,https://biocaresd.com,Unknown,Unknown,,
CareMetx,The Vistria Group,https://caremetx.com,Unknown,Unknown,,
ChiroOne,The Vistria Group,https://chiroone.com,Unknown,Unknown,,
Help at Home,The Vistria Group,https://helpathome.com,Unknown,Unknown,,
MedaLogix,The Vistria Group,https://medalogix.com,Unknown,Unknown,,
Mission Healthcare,The Vistria Group,https://homewithmission.com,Unknown,AWS,,
Ora,The Vistria Group,https://oraclinical.com,Unknown,Unknown,,
PANTHERx Rare,The Vistria Group,https://pantherxrare.com,"$726,100,000",Unknown,,
Rock Dental,The Vistria Group,https://rockdentalbrands.com,"$100,000,000",AWS,,
Sandstone Care,The Vistria Group,https://sandstonecare.com,Unknown,Unknown,,
SCA Pharma,The Vistria Group,https://scapharma.com,Unknown,Unknown,,
Sevita,The Vistria Group,https://sevitahealth.com,Unknown,Unknown,,
Sleep Doctor,The Vistria Group,https://sleepdoctor.com,Unknown,Unknown,,
Soliant,The Vistria Group,https://www.soliant.com,Unknown,Unknown,,
St Croix Hospice,The Vistria Group,https://stcroixhospice.com,Unknown,Unknown,,
Supplemental Health Care,The Vistria Group,https://shccares.com,Unknown,Unknown,,
Tango,The Vistria Group,https://tangocare.com,Unknown,Unknown,,
VitalCaringGroup,The Vistria Group,https://vitalcaring.com,Unknown,Unknown,,
Edmentum,The Vistria Group,https://edmentum.com,Unknown,Unknown,,
ESS,The Vistria Group,https://www.ess.com,Unknown,Unknown,,
FullBloom,The Vistria Group,https://fullbloom.org,Unknown,Unknown,,
HigherEducation.com,The Vistria Group,https://www.highereducation.com/,Unknown,Unknown,,
MGT,The Vistria Group,https://www.mgt.us,Unknown,Unknown,,
MSI,The Vistria Group,https://mediasourceinc.com,Unknown,Unknown,,
Penn Foster,The Vistria Group,https://www.pennfoster.edu/,Unknown,Unknown,,
Really Great Reading,The Vistria Group,https://www.reallygreatreading.com,Unknown,Unknown,,
RisePoint,The Vistria Group,https://risepoint.com,Unknown,Unknown,,
The Gardner School,The Vistria Group,https://www.thegardnerschool.com,Unknown,Unknown,,
Unitek Learning,The Vistria Group,https://uniteklearning.com,Unknown,Unknown,,
University of Phoenix,The Vistria Group,https://phoenix.edu,Unknown,Unknown,,
Vanta Education,The Vistria Group,https://vantaeducation.com,Unknown,Unknown,,
BriteCap,The Vistria Group,https://www.britecap.com,Unknown,Unknown,,
Daybright Financial,The Vistria Group,https://daybright.com,Unknown,Unknown,,
Flores,The Vistria Group,https://www.flores-associates.com,Unknown,Unknown,,
TMG,The Vistria Group,https://www.themathergroup.com,Unknown,Unknown,,
Treliant,The Vistria Group,https://treliant.com,Unknown,Unknown,,
