Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
ABC Fitness,Thoma Bravo,abcfitness.com,"$538,500,000",Unknown,Unknown,Unknown
Aisera,Thoma Bravo,aisera.com,Unknown,Unknown,Unknown,Unknown
Alation,Thoma Bravo,alation.com,Unknown,Unknown,Unknown,Unknown
Alma,Thoma Bravo,helloalma.com,Unknown,AWS,Azure,GCP
Anaplan,Thoma Bravo,anaplan.com,"$592,200,000",AWS,Azure,Unknown
Anchorage Digital,Thoma Bravo,anchorage.com,Unknown,Unknown,Unknown,Unknown
Applitools,Thoma Bravo,applitools.com,Unknown,Unknown,Unknown,Unknown
AppOmni,Thoma Bravo,appomni.com,Unknown,Unknown,Unknown,Unknown
Apryse,Thoma Bravo,apryse.com,"$30,000,000",AWS,Azure,GCP
Bluesight,Thoma Bravo,bluesight.com,Unknown,Unknown,Unknown,Unknown
Bottomline,Thoma Bravo,bottomline.com,Unknown,Unknown,Unknown,Unknown
Calabrio,Thoma Bravo,calabrio.com,"$109,300,000",AWS,Unknown,Unknown
Circle Cardiovascular Imaging,Thoma Bravo,circlecvi.com,"$22,000,000",AWS,Azure,GCP
Command Alkon,Thoma Bravo,commandalkon.com,"$120,000,000",Unknown,Unknown,Unknown
CompTIA,Thoma Bravo,comptia.org,"$68,400,000",AWS,Azure,GCP
Conga,Thoma Bravo,conga.com,"$750,000,000",AWS,Unknown,Unknown
ConnectWise,Thoma Bravo,connectwise.com,Unknown,Unknown,Unknown,Unknown
Continuous,Thoma Bravo,smatechnologies.com,"$1,904,100,000",AWS,Azure,Unknown
Cority,Thoma Bravo,cority.com,"$158,400,000",AWS,Azure,GCP
Coupa,Thoma Bravo,coupa.com,"$810,000,000",AWS,Azure,GCP
Darktrace,Thoma Bravo,darktrace.com,"$545,430,000",AWS,Azure,GCP
Delinea,Thoma Bravo,delinea.com,"$750,000,000",AWS,Azure,GCP
Eptura,Thoma Bravo,eptura.com,"$124,860,000",AWS,Azure,Unknown
EQS,Thoma Bravo,eqs.com,"$75,100,000",AWS,Azure,GCP
Everbridge,Thoma Bravo,everbridge.com,"$450,000,000",AWS,Unknown,Unknown
Exabeam,Thoma Bravo,exabeam.com,"$140,700,000",AWS,Unknown,Unknown
FalconX,Thoma Bravo,falconx.io,Unknown,Unknown,Unknown,Unknown
Figment,Thoma Bravo,figment.io,Unknown,Unknown,Unknown,Unknown
Flexera,Thoma Bravo,flexera.com,Unknown,Unknown,Unknown,Unknown
Foundation Software,Thoma Bravo,foundationsoft.com,"$75,000,000",Unknown,Unknown,Unknown
Grayshift,Thoma Bravo,grayshift.com,Unknown,Unknown,Unknown,Unknown
Greenphire,Thoma Bravo,greenphire.com,"$75,000,000",AWS,Azure,GCP
HCSS,Thoma Bravo,hcss.com,"$178,700,000",Unknown,Unknown,Unknown
HubSync,Thoma Bravo,hubsync.com,Unknown,AWS,Azure,Unknown
Hyland,Thoma Bravo,hyland.com,"$818,500,000",AWS,Unknown,Unknown
Hypergene,Thoma Bravo,hypergene.com,"$23,000,000",Azure,Unknown,Unknown
Illumio,Thoma Bravo,illumio.com,Unknown,Unknown,Unknown,Unknown
Imply,Thoma Bravo,imply.io,Unknown,Unknown,Unknown,Unknown
Imprivata,Thoma Bravo,imprivata.com,"$138,000,000",Azure,Unknown,Unknown
Intel 471,Thoma Bravo,intel471.com,Unknown,Unknown,Unknown,Unknown
J.D. Power,Thoma Bravo,jdpower.com,"$750,000,000",AWS,Azure,GCP
LOGEX,Thoma Bravo,logex.com,"$30,000,000",AWS,Azure,GCP
Magnet Forensics,Thoma Bravo,magnetforensics.com,Unknown,Unknown,Unknown,Unknown
Majesco,Thoma Bravo,majesco.com,"$250,000,000",Azure,Unknown,Unknown
Medallia,Thoma Bravo,medallia.com,"$520,000,000",Azure,Unknown,Unknown
Mercell,Thoma Bravo,mercell.com,"$83,700,000",AWS,Azure,GCP
MeridianLink,Thoma Bravo,meridianlink.com,"$338,400,000",Unknown,Unknown,Unknown
Motus,Thoma Bravo,motus.com,"$110,600,000",AWS,Azure,GCP
N-able,Thoma Bravo,n-able.com,"$466,150,000",Azure,Unknown,Unknown
Nearmap,Thoma Bravo,nearmap.com,"$146,200,000",Unknown,Unknown,Unknown
NextGen Healthcare,Thoma Bravo,nextgen.com,"$690,000,000",AWS,Unknown,Unknown
Nintex,Thoma Bravo,nintex.com,"$300,000,000",AWS,Unknown,Unknown
Olo,Thoma Bravo,olo.com,"$284,940,000",GCP,Unknown,Unknown
OPEXUS,Thoma Bravo,opexustech.com,Unknown,Unknown,Unknown,Unknown
Paradox,Thoma Bravo,paradox.ai,"$122,900,000",AWS,Azure,GCP
PCMI,Thoma Bravo,pcmicorp.com,Unknown,Azure,Unknown,Unknown
Pendo,Thoma Bravo,pendo.io,"$200,000,000",GCP,Azure,Unknown
Personetics,Thoma Bravo,personetics.com,Unknown,Azure,Unknown,Unknown
Ping Identity,Thoma Bravo,pingidentity.com,"$300,000,000",AWS,GCP,Azure
Planview,Thoma Bravo,planview.com,"$400,000,000",Azure,Unknown,Unknown
project44,Thoma Bravo,project44.com,"$134,000,000",GCP,Unknown,Unknown
Proofpoint,Thoma Bravo,proofpoint.com,"$1,130,000,000",AWS,Azure,GCP
QAD,Thoma Bravo,qad.com,"$320,000,000",AWS,Unknown,Unknown
Qlik,Thoma Bravo,qlik.com,"$200,000,000",AWS,Azure,Unknown
Raptor Technologies,Thoma Bravo,raptortech.com,"$35,000,000",Azure,Unknown,Unknown
RealPage,Thoma Bravo,realpage.com,"$1,200,000,000",AWS,Azure,GCP
Riskonnect,Thoma Bravo,riskonnect.com,"$130,600,000",AWS,Azure,GCP
SailPoint,Thoma Bravo,sailpoint.com,"$861,610,000",AWS,Azure,GCP
ServiceTitan,Thoma Bravo,servicetitan.com,"$771,880,000",AWS,Azure,GCP
Solifi,Thoma Bravo,solifi.com,Unknown,AWS,Azure,GCP
Sophos,Thoma Bravo,sophos.com,"$1,000,000,000",AWS,Azure,GCP
Starburst,Thoma Bravo,starburst.io,"$750,000,000",GCP,Azure,AWS
Suvoda,Thoma Bravo,suvoda.com,"$299,700,000",AWS,Azure,GCP
T2 Systems,Thoma Bravo,t2systems.com,"$2,000,000,000",AWS,Azure,GCP
TRM Labs,Thoma Bravo,trmlabs.com,Unknown,Unknown,Unknown,Unknown
UserTesting,Thoma Bravo,usertesting.com,Unknown,Unknown,Unknown,Unknown
