Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Cognita Schools,Veritas Capital,https://www.cognita.com,"$1,250,000,000",Azure,,
Cornerstone Advisors,Veritas Capital,https://www.crnrstone.com,Unknown,Azure,,
Edifecs,Veritas Capital,https://www.edifecs.com,"$210,000,000",GCP,,
Crescend Technologies,Veritas Capital,https://crescendrf.com,"$18,600,000",Unknown,,
"Idsi, LLC",Veritas Capital,https://www.idsi.com,Unknown,Unknown,,
Epiq Solutions,Veritas Capital,https://www.epiqsolutions.com,"$45,900,000",Unknown,,
SolAero Technologies (Rocket Lab Space Systems),Veritas Capital,https://www.rocketlabusa.com,"$310,840,000",AWS,Azure,GCP
Wood Mackenzie,Veritas Capital,https://www.woodmac.com,"$750,000,000",Azure,,
CAES (exited),Veritas Capital,https://caes.com,"$1,225,000,000",Oracle,,
Sequa Corporation (Chromalloy),Veritas Capital,https://www.chromalloy.com,"$867,500,000",Unknown,,
