Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Accelya,Vista Equity Partners,https://w3.accelya.com/,$500M+,AWS,,
Acquia,Vista Equity Partners,https://www.acquia.com/,$400M+,AWS,,
Advanced,Vista Equity Partners,https://www.oneadvanced.com/,$500M+,Azure,,
Alert Logic,Vista Equity Partners,https://www.alertlogic.com/,$150M+,AWS,,
Apptio,Vista Equity Partners,https://www.apptio.com/,$450M+,AWS,,
Aspira,Vista Equity Partners,https://www.aspiraconnect.com/,N/A,Unknown,,
Autotask,Vista Equity Partners,https://www.autotask.com/,N/A,Unknown,,
Avolve,Vista Equity Partners,https://www.avolvesoftware.com/,N/A,Unknown,,
Bigtincan,Vista Equity Partners,https://www.bigtincan.com/,$120M+,Unknown,,
BlueCat,Vista Equity Partners,https://bluecatnetworks.com/,$100M+,Unknown,,
Canto,Vista Equity Partners,https://www.canto.com/,$50M+,AWS,,
CentralSquare Technologies,Vista Equity Partners,https://www.centralsquare.com/,$450M+,Azure,,
ComplySci,Vista Equity Partners,https://www.complysci.com/,$100M+,AWS,,
Coursedog,Vista Equity Partners,https://www.coursedog.com/,$15M+,AWS,,
Critical Start,Vista Equity Partners,https://www.criticalstart.com/,$100M+,Azure,,
Daz 3D,Vista Equity Partners,https://www.daz3d.com/,N/A,Unknown,,
Dispatch,Vista Equity Partners,https://dispatch.me/,$10M+,GCP,,
Drift,Vista Equity Partners,https://www.drift.com/,$100M+,AWS,,
EagleView,Vista Equity Partners,https://www.eagleview.com/,$250M+,AWS,,
EAB,Vista Equity Partners,https://eab.com/,$300M+,AWS,,
Ellucian,Vista Equity Partners,https://www.ellucian.com/,$1B+,AWS,Azure,
EngageSmart,Vista Equity Partners,https://www.engagesmart.com/,$380M+,AWS,,
ESO,Vista Equity Partners,https://www.eso.com/,$150M+,Azure,,
Finastra,Vista Equity Partners,https://www.finastra.com/,$2.1B+,Azure,,
Flash,Vista Equity Partners,https://flashparking.com/,$100M+,AWS,,
Gomo Learning,Vista Equity Partners,https://www.gomolearning.com/,N/A,AWS,,
Granicus,Vista Equity Partners,https://granicus.com/,$200M+,AWS,,
Greenhouse,Vista Equity Partners,https://www.greenhouse.com/,$150M+,AWS,,
iCIMS,Vista Equity Partners,https://www.icims.com/,$400M+,Azure,,
Infoblox,Vista Equity Partners,https://www.infoblox.com/,$500M+,AWS,,
Integral Ad Science,Vista Equity Partners,https://integralads.com/,$470M+,AWS,,
Jamf,Vista Equity Partners,https://www.jamf.com/,$560M+,AWS,GCP,
KnowBe4,Vista Equity Partners,https://www.knowbe4.com/,$400M+,AWS,,
LogicMonitor,Vista Equity Partners,https://www.logicmonitor.com/,$200M+,AWS,,
Mindbody,Vista Equity Partners,https://www.mindbodyonline.com/,$350M+,GCP,,
N-able,Vista Equity Partners,https://www.n-able.com/,$410M+,AWS,,
NAVEX,Vista Equity Partners,https://www.navex.com/,$250M+,Azure,,
Numerated,Vista Equity Partners,https://www.numerated.com/,$25M+,AWS,,
Omnitracs,Vista Equity Partners,https://www.omnitracs.com/,$600M+,GCP,,
Ping Identity,Vista Equity Partners,https://www.pingidentity.com/,$400M+,AWS,,
Pipedrive,Vista Equity Partners,https://www.pipedrive.com/,$100M+,AWS,,
Pluralsight,Vista Equity Partners,https://www.pluralsight.com/,$450M+,Azure,,
PowerSchool,Vista Equity Partners,https://www.powerschool.com/,$700M+,Azure,AWS,
Salesloft,Vista Equity Partners,https://salesloft.com/,$200M+,AWS,,
Sawgrass,Vista Equity Partners,https://www.sawgrassink.com/,N/A,Unknown,,
Sentieo,Vista Equity Partners,https://www.sentieo.com/,N/A,AWS,,
SmartBear,Vista Equity Partners,https://smartbear.com/,$250M+,AWS,Azure,
Sonder,Vista Equity Partners,https://www.sonder.com/,$550M+,AWS,,
STATS Perform,Vista Equity Partners,https://www.statsperform.com/,$250M+,AWS,,
TIBCO,Vista Equity Partners,https://www.tibco.com/,$1B+,AWS,Azure,
Trintech,Vista Equity Partners,https://www.trintech.com/,$150M+,Azure,,
Vena Solutions,Vista Equity Partners,https://www.venasolutions.com/,$100M+,AWS,,
Veracross,Vista Equity Partners,https://www.veracross.com/,$50M+,Azure,,
Wrike,Vista Equity Partners,https://www.wrike.com/,$200M+,AWS,GCP,
Xactly,Vista Equity Partners,https://www.xactlycorp.com/,$150M+,Unknown,,
Zapproved,Vista Equity Partners,https://www.zapproved.com/,$50M+,AWS,,
