Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Alavie,Warburg Pincus,https://alavie.it/,Unknown,Unknown,,
Park Place Technologies,Warburg Pincus,https://www.parkplacetechnologies.com/,"$750,000,000",AWS,Azure,
Betriebsärzte Allgäu,Warburg Pincus,https://www.betriebsärzte-allgäu.com/,Unknown,Unknown,,
Candere,Warburg Pincus,https://www.candere.com/,"$15,900,000",Unknown,,
Aio Insurance and Benefits Broker,Warburg Pincus,https://ioausa.com/,"$343,000,000",AWS,GCP,
MIAX,Warburg Pincus,https://www.miaxglobal.com/,"$1,260,000,000",AWS,,
Aztec Group,Warburg Pincus,https://aztec.group/,Unknown,Azure,AWS,GCP
Aura,Warburg Pincus,https://www.aura.com/,"$220,000,000+",GCP,AWS,
FlavorSum,Warburg Pincus,https://flavorsum.com/,"$33,800,000",Unknown,,
Keystone Agency Partners,Warburg Pincus,https://keystoneagencypartners.com/,"$300,000,000",AWS,,
