Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Postman,Westbridge Capital,https://www.postman.com/,"$313,100,000",GCP,AWS,Azure
EverFlow Partners,Westbridge Capital,Unknown,Unknown,Not Applicable,,
Finvu,Westbridge Capital,https://finvu.in/,Unknown,Unknown,,
UptimeAI,Westbridge Capital,https://www.uptimeai.com/,"$8,600,000",AWS,,
Z21 Ventures,Westbridge Capital,https://z21.ventures/,Unknown,Not Applicable,,
KPN Fresh,Westbridge Capital,https://www.kpnfresh.com/,"$48,300,000",Unknown,,
Zscaler,Westbridge Capital,https://www.zscaler.com/,"$2,168,000,000",AWS,Azure,GCP
FundsIndia,Westbridge Capital,https://www.fundsindia.com/,"$9,900,000",Unknown,,
DuploCloud,Westbridge Capital,https://duplocloud.com/,"$26,800,000",AWS,Azure,GCP
TrackWizz,Westbridge Capital,https://www.trackwizz.com/,"$9,760,000",Unknown,,
Meesho,Westbridge Capital,https://www.meesho.com/,"$915,500,000",AWS,GCP,Azure
Fashinza,Westbridge Capital,https://fashinza.com/,Unknown,GCP,,
