Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
1-800 CONTACTS,Thomas H Lee Partners,https://www.1800contacts.com/,"125,000,000",AWS,,
8th Avenue Food & Provisions,Thomas H Lee Partners,https://www.8ave.com/,"1,000,000,000",Unknown,,
AbacusNext,Thomas H Lee Partners,https://www.abacusnext.com/,"85,400,000",Proprietary Cloud,,
ABM Industries,Thomas H Lee Partners,https://www.abm.com/,"8,400,000,000",Azure,,
Acosta,Thomas H Lee Partners,https://www.acosta.com/,"1,900,000,000",Unknown,,
Adare Pharma Solutions,Thomas H Lee Partners,https://adarepharmasolutions.com/,"142,700,000",Azure,AWS,GCP
Agiliti Health,Thomas H Lee Partners,https://www.agilitihealth.com/,"1,170,000,000",Unknown,,
Alight,Thomas H Lee Partners,https://www.alight.com/,"2,330,000,000",Unknown,,
AmeriLife Group,Thomas H Lee Partners,https://amerilife.com/,"1,000,000,000",Azure,,
AMI,Thomas H Lee Partners,https://www.ami.com/,"500,000,000",Unknown,,
AutoStore,Thomas H Lee Partners,https://www.autostoresystem.com/,"601,000,000",Unknown,,
Bazaarvoice,Thomas H Lee Partners,https://www.bazaarvoice.com/,"374,200,000",AWS,,
Brooks Automation,Thomas H Lee Partners,https://www.brooks.com/,"1,090,000,000",Unknown,,
Bynder,Thomas H Lee Partners,https://www.bynder.com/,"100,000,000",AWS,,
Carpe Data,Thomas H Lee Partners,https://carpe.io/,"44,300,000",Unknown,,
CSafe Global,Thomas H Lee Partners,https://csafeglobal.com/,"22,000,000",Unknown,,
CTI Foods,Thomas H Lee Partners,https://www.ctifoods.com/,"700,000,000",AWS,,
Dun & Bradstreet,Thomas H Lee Partners,https://www.dnb.com/,"2,400,000,000",GCP,,
"Fortna, Inc.",Thomas H Lee Partners,https://www.fortna.com/,"726,600,000",Azure,AWS,GCP
FourKites,Thomas H Lee Partners,https://www.fourkites.com/,"14,800,000",GCP,AWS,Azure
Greensmith Energy,Thomas H Lee Partners,https://www.wartsila.com/energy/energy-storage-optimisation,"32,000,000",Unknown,,
Guaranteed Rate,Thomas H Lee Partners,https://www.rate.com/,"631,000,000",AWS,,
House of Design,Thomas H Lee Partners,https://www.thehouseofdesign.com/,"30,800,000",Unknown,,
inriver,Thomas H Lee Partners,https://www.inriver.com/,"70,000,000",Azure,,
Intelligent Medical Objects,Thomas H Lee Partners,https://www.imohealth.com/,"35,000,000",AWS,Azure,GCP
Nextech Holdings,Thomas H Lee Partners,https://www.nextech.com/,"83,400,000",Proprietary Cloud,,
Odessa,Thomas H Lee Partners,https://www.odessainc.com/,"285,600,000",Azure,,
PCI Pharma Services,Thomas H Lee Partners,https://pci.com/,"700,000,000",Unknown,,
Professional Physical Therapy,Thomas H Lee Partners,https://www.professionalpt.com/,Unknown,Unknown,,
Qventus,Thomas H Lee Partners,https://www.qventus.com/,"37,900,000",AWS,Azure,GCP
Red Nucleus,Thomas H Lee Partners,https://rednucleus.com/,"199,600,000",GCP,,
Smile Doctors,Thomas H Lee Partners,Unknown,Unknown,Unknown,,
Standish Management,Thomas H Lee Partners,Unknown,Unknown,Unknown,,
System One,Thomas H Lee Partners,Unknown,Unknown,Unknown,,
YA Group,Thomas H Lee Partners,Unknown,Unknown,Unknown,,
